Test,ChiSquare,ProbChiSq,rep
SUN,1.1127,0.2915,1
SUN,0.4679,0.4940,2
SUN,0.1824,0.6693,3
SUN,0.4255,0.5142,4
SUN,0.2533,0.6148,5
SUN,0.6784,0.4101,6
SUN,3.4499,0.0633,7
SUN,3.9651,0.0465,8
SUN,0.0071,0.9327,9
SUN,0.0027,0.9585,10
SUN,0.6457,0.4217,11
SUN,0.2141,0.6436,12
SUN,0.7647,0.3818,13
SUN,4.9653,0.0259,14
SUN,0.4708,0.4926,15
SUN,0.0007,0.9788,16
SUN,0.1078,0.7426,17
SUN,0.0221,0.8817,18
SUN,6.4594,0.0110,19
SUN,0.5940,0.4409,20
SUN,0.0482,0.8263,21
SUN,3.5939,0.0580,22
SUN,0.9882,0.3202,23
SUN,0.2180,0.6406,24
SUN,0.9530,0.3289,25
SUN,1.2054,0.2722,26
SUN,3.1043,0.0781,27
SUN,0.0716,0.7890,28
SUN,0.1004,0.7514,29
SUN,0.1349,0.7134,30
SUN,0.9553,0.3284,31
SUN,1.5124,0.2188,32
SUN,0.0385,0.8444,33
SUN,0.1554,0.6934,34
SUN,0.4965,0.4810,35
SUN,0.0589,0.8082,36
SUN,4.5269,0.0334,37
SUN,0.0905,0.7636,38
SUN,1.0958,0.2952,39
SUN,0.7363,0.3909,40
SUN,1.8499,0.1738,41
SUN,0.6987,0.4032,42
SUN,0.9553,0.3284,43
SUN,0.0131,0.9089,44
SUN,1.5134,0.2186,45
SUN,0.0119,0.9132,46
SUN,0.0039,0.9505,47
SUN,0.0725,0.7878,48
SUN,0.0025,0.9598,49
SUN,0.1165,0.7328,50
SUN,0.0001,0.9927,51
SUN,0.1175,0.7318,52
SUN,0.6086,0.4353,53
SUN,0.1598,0.6894,54
SUN,0.0039,0.9499,55
SUN,4.8760,0.0272,56
SUN,0.1709,0.6793,57
SUN,0.1117,0.7382,58
SUN,0.7121,0.3988,59
SUN,0.0408,0.8399,60
SUN,0.0148,0.9033,61
SUN,1.6113,0.2043,62
SUN,0.9566,0.3280,63
SUN,1.4119,0.2347,64
SUN,6.4506,0.0111,65
SUN,0.0232,0.8788,66
SUN,0.0698,0.7916,67
SUN,0.2881,0.5915,68
SUN,0.9349,0.3336,69
SUN,5.1121,0.0238,70
SUN,0.6802,0.4095,71
SUN,0.1466,0.7018,72
SUN,0.5136,0.4736,73
SUN,0.0040,0.9497,74
SUN,1.9526,0.1623,75
SUN,0.2652,0.6065,76
SUN,0.0313,0.8597,77
SUN,0.1415,0.7068,78
SUN,0.7356,0.3911,79
SUN,0.1561,0.6927,80
SUN,0.0016,0.9680,81
SUN,2.3718,0.1235,82
SUN,0.0000,0.9966,83
SUN,1.6432,0.1999,84
SUN,0.4811,0.4879,85
SUN,0.0396,0.8422,86
SUN,0.6272,0.4284,87
SUN,0.0859,0.7694,88
SUN,0.2779,0.5981,89
SUN,0.1042,0.7469,90
SUN,1.5088,0.2193,91
SUN,0.8517,0.3561,92
SUN,0.3820,0.5365,93
SUN,0.2518,0.6158,94
SUN,0.4490,0.5028,95
SUN,0.0301,0.8623,96
SUN,0.0303,0.8619,97
SUN,0.4650,0.4953,98
SUN,0.4127,0.5206,99
SUN,0.2504,0.6168,100
