Test,ChiSquare,ProbChiSq,rep
SUN,32.1415,<.0001,1
SUN,4.7923,0.0286,2
SUN,18.1443,<.0001,3
SUN,26.3346,<.0001,4
SUN,15.1691,<.0001,5
SUN,19.0865,<.0001,6
SUN,18.5399,<.0001,7
SUN,22.3715,<.0001,8
SUN,17.7421,<.0001,9
SUN,7.1212,0.0076,10
SUN,21.4554,<.0001,11
SUN,29.7711,<.0001,12
SUN,15.4362,<.0001,13
SUN,16.2030,<.0001,14
SUN,17.0869,<.0001,15
SUN,22.6517,<.0001,16
SUN,12.8726,0.0003,17
SUN,14.1854,0.0002,18
SUN,16.1870,<.0001,19
SUN,22.4572,<.0001,20
SUN,17.8835,<.0001,21
SUN,38.3820,<.0001,22
SUN,29.2147,<.0001,23
SUN,38.2208,<.0001,24
SUN,14.8832,0.0001,25
SUN,26.6235,<.0001,26
SUN,25.3677,<.0001,27
SUN,15.8162,<.0001,28
SUN,9.9242,0.0016,29
SUN,10.2180,0.0014,30
SUN,11.8413,0.0006,31
SUN,28.7226,<.0001,32
SUN,12.3286,0.0004,33
SUN,31.4405,<.0001,34
SUN,13.4742,0.0002,35
SUN,26.7547,<.0001,36
SUN,10.8177,0.0010,37
SUN,21.8346,<.0001,38
SUN,18.9604,<.0001,39
SUN,22.1004,<.0001,40
SUN,8.2062,0.0042,41
SUN,6.7391,0.0094,42
SUN,28.0629,<.0001,43
SUN,21.3392,<.0001,44
SUN,16.9529,<.0001,45
SUN,30.2303,<.0001,46
SUN,10.9665,0.0009,47
SUN,16.5226,<.0001,48
SUN,20.2550,<.0001,49
SUN,13.7012,0.0002,50
SUN,11.2993,0.0008,51
SUN,15.3967,<.0001,52
SUN,37.5526,<.0001,53
SUN,9.9024,0.0017,54
SUN,12.5448,0.0004,55
SUN,14.2856,0.0002,56
SUN,8.3056,0.0040,57
SUN,9.6532,0.0019,58
SUN,13.6533,0.0002,59
SUN,4.7280,0.0297,60
SUN,20.9640,<.0001,61
SUN,22.4568,<.0001,62
SUN,9.7450,0.0018,63
SUN,13.3644,0.0003,64
SUN,30.3415,<.0001,65
SUN,37.6899,<.0001,66
SUN,27.3901,<.0001,67
SUN,14.1684,0.0002,68
SUN,18.8392,<.0001,69
SUN,10.7973,0.0010,70
SUN,30.3287,<.0001,71
SUN,15.3826,<.0001,72
SUN,27.2867,<.0001,73
SUN,35.4771,<.0001,74
SUN,18.1331,<.0001,75
SUN,18.6801,<.0001,76
SUN,21.8519,<.0001,77
SUN,20.7087,<.0001,78
SUN,8.5188,0.0035,79
SUN,9.7731,0.0018,80
SUN,15.0658,0.0001,81
SUN,29.8912,<.0001,82
SUN,23.6295,<.0001,83
SUN,7.9460,0.0048,84
SUN,13.5594,0.0002,85
SUN,4.7268,0.0297,86
SUN,19.9287,<.0001,87
SUN,22.3679,<.0001,88
SUN,12.5830,0.0004,89
SUN,14.0411,0.0002,90
SUN,13.3055,0.0003,91
SUN,21.3748,<.0001,92
SUN,22.5294,<.0001,93
SUN,17.8311,<.0001,94
SUN,19.0904,<.0001,95
SUN,7.5161,0.0061,96
SUN,27.5453,<.0001,97
SUN,41.1176,<.0001,98
SUN,16.1946,<.0001,99
SUN,17.6034,<.0001,100
