Test,ChiSquare,ProbChiSq,rep
SUN,80.9026,<.0001,1
SUN,88.0001,<.0001,2
SUN,89.7593,<.0001,3
SUN,75.7801,<.0001,4
SUN,76.0262,<.0001,5
SUN,95.8007,<.0001,6
SUN,46.6451,<.0001,7
SUN,85.1449,<.0001,8
SUN,82.5442,<.0001,9
SUN,64.8192,<.0001,10
SUN,82.4951,<.0001,11
SUN,112.5094,<.0001,12
SUN,62.2829,<.0001,13
SUN,61.5799,<.0001,14
SUN,71.9002,<.0001,15
SUN,58.2699,<.0001,16
SUN,46.8848,<.0001,17
SUN,103.2175,<.0001,18
SUN,77.5946,<.0001,19
SUN,57.5071,<.0001,20
SUN,97.8417,<.0001,21
SUN,87.4183,<.0001,22
SUN,76.4919,<.0001,23
SUN,62.8771,<.0001,24
SUN,79.1440,<.0001,25
SUN,55.3668,<.0001,26
SUN,104.5828,<.0001,27
SUN,116.8871,<.0001,28
SUN,83.7922,<.0001,29
SUN,92.0717,<.0001,30
SUN,92.0471,<.0001,31
SUN,66.4822,<.0001,32
SUN,82.6948,<.0001,33
SUN,51.2537,<.0001,34
SUN,94.3919,<.0001,35
SUN,74.0198,<.0001,36
SUN,69.5839,<.0001,37
SUN,53.3901,<.0001,38
SUN,46.9326,<.0001,39
SUN,62.5229,<.0001,40
SUN,83.9998,<.0001,41
SUN,83.2991,<.0001,42
SUN,89.0707,<.0001,43
SUN,68.1774,<.0001,44
SUN,71.3116,<.0001,45
SUN,54.8933,<.0001,46
SUN,79.3060,<.0001,47
SUN,71.2867,<.0001,48
SUN,65.4443,<.0001,49
SUN,93.2777,<.0001,50
SUN,56.7653,<.0001,51
SUN,72.9291,<.0001,52
SUN,33.6659,<.0001,53
SUN,63.1209,<.0001,54
SUN,78.6704,<.0001,55
SUN,68.7950,<.0001,56
SUN,82.6422,<.0001,57
SUN,87.3663,<.0001,58
SUN,60.2931,<.0001,59
SUN,67.2012,<.0001,60
SUN,59.6725,<.0001,61
SUN,60.9751,<.0001,62
SUN,54.1430,<.0001,63
SUN,55.2961,<.0001,64
SUN,86.2540,<.0001,65
SUN,76.0925,<.0001,66
SUN,44.2181,<.0001,67
SUN,114.4867,<.0001,68
SUN,75.5481,<.0001,69
SUN,67.0914,<.0001,70
SUN,97.2323,<.0001,71
SUN,76.6472,<.0001,72
SUN,79.9602,<.0001,73
SUN,92.2857,<.0001,74
SUN,80.0202,<.0001,75
SUN,71.6182,<.0001,76
SUN,50.0784,<.0001,77
SUN,59.8440,<.0001,78
SUN,53.5634,<.0001,79
SUN,58.5372,<.0001,80
SUN,85.6683,<.0001,81
SUN,63.7889,<.0001,82
SUN,69.6928,<.0001,83
SUN,99.8138,<.0001,84
SUN,62.9274,<.0001,85
SUN,92.5423,<.0001,86
SUN,81.2734,<.0001,87
SUN,71.5459,<.0001,88
SUN,71.6778,<.0001,89
SUN,101.0583,<.0001,90
SUN,55.0671,<.0001,91
SUN,78.7808,<.0001,92
SUN,79.3019,<.0001,93
SUN,59.2629,<.0001,94
SUN,75.9483,<.0001,95
SUN,57.6200,<.0001,96
SUN,85.7547,<.0001,97
SUN,56.6381,<.0001,98
SUN,62.7142,<.0001,99
SUN,93.7521,<.0001,100
