trt,LeftBoundary,RightBoundary,SurvProb,FailProb,IMStderr,LagrangeMult,SurvProb_LCL,SurvProb_UCL,ConfType
0,0.3962723429,0.3983696487,0.9443776487,0.0556223513,0.0206215138,0,0.9039602244,0.984795073,LINEAR
0,0.4922088329,0.4925032972,0.9057722333,0.0942277667,0.024620665,0,0.8575166165,0.95402785,LINEAR
0,0.5817661104,0.6018866251,0.9057722333,0.0942277667,0.024620665,4.1570471775,0.8575166165,0.95402785,LINEAR
0,0.6539414015,0.6620690186,0.9057722333,0.0942277667,0.024620665,13.049294888,0.8575166165,0.95402785,LINEAR
0,0.7382278182,0.7382551997,0.8449146928,0.1550853072,0.0293129296,0,0.7874624065,0.902366979,LINEAR
0,0.7629837417,0.7692595405,0.7954077194,0.2045922806,0.0303495773,0,0.735923641,0.8548917978,LINEAR
0,0.8167184214,0.8238565146,0.7954077194,0.2045922806,0.0303495773,18.852942696,0.735923641,0.8548917978,LINEAR
0,0.8280617672,0.8320908457,0.7954077194,0.2045922806,0.0303495773,22.792336678,0.735923641,0.8548917978,LINEAR
0,0.8322039307,0.8383161574,0.7954077194,0.2045922806,0.0303495773,11.872764146,0.735923641,0.8548917978,LINEAR
0,0.8531380645,0.8561383965,0.7954077194,0.2045922806,0.0303495773,6.8430172533,0.735923641,0.8548917978,LINEAR
0,0.9047147676,0.9107941014,0.7954077194,0.2045922806,0.0303495773,17.760312718,0.735923641,0.8548917978,LINEAR
0,0.913752056,0.918199206,0.7954077194,0.2045922806,0.0303495773,19.267694141,0.735923641,0.8548917978,LINEAR
0,0.9208223037,0.9517809257,0.7954077194,0.2045922806,0.0303495773,24.948189095,0.735923641,0.8548917978,LINEAR
0,0.9618011061,0.9625281004,0.7954077194,0.2045922806,0.0303495773,25.507194556,0.735923641,0.8548917978,LINEAR
0,0.9672707981,0.9828275043,0.7954077194,0.2045922806,0.0303495773,27.014575979,0.735923641,0.8548917978,LINEAR
0,0.9900786066,1.0000356291,0.7954077194,0.2045922806,0.0303495773,27.577204449,0.735923641,0.8548917978,LINEAR
0,1.0242300555,1.0325771812,0.7954077194,0.2045922806,0.0303495773,16.491285932,0.735923641,0.8548917978,LINEAR
0,1.050860134,1.0538549013,0.7954077194,0.2045922806,0.0303495773,17.28763395,0.735923641,0.8548917978,LINEAR
0,1.0678762577,1.0683443674,0.7954077194,0.2045922806,0.0303495773,11.000670192,0.735923641,0.8548917978,LINEAR
0,1.0708024146,1.0804497059,0.7954077194,0.2045922806,0.0303495773,10.766950643,0.735923641,0.8548917978,LINEAR
0,1.0985177131,1.1121170094,0.7321459788,0.2678540212,0.0345796445,0,0.6643711209,0.7999208366,LINEAR
0,1.1350531795,1.1492609661,0.7321459788,0.2678540212,0.0345796445,2.5655323527,0.6643711209,0.7999208366,LINEAR
0,1.1888233311,1.1930887356,0.6945760277,0.3054239723,0.0358567729,0,0.6242980441,0.7648540113,LINEAR
0,1.2199546162,1.2242424916,0.6945760277,0.3054239723,0.0358567729,6.1548956818,0.6242980441,0.7648540113,LINEAR
0,1.3002864795,1.3028652742,0.6945760277,0.3054239723,0.0358567729,9.5880981758,0.6242980441,0.7648540113,LINEAR
