Test,ChiSquare,ProbChiSq,rep
SUN,3.3281,0.0681,1
SUN,3.7099,0.0541,2
SUN,2.1065,0.1467,3
SUN,0.0021,0.9636,4
SUN,8.1812,0.0042,5
SUN,1.4240,0.2327,6
SUN,2.3792,0.1230,7
SUN,3.6921,0.0547,8
SUN,2.6841,0.1014,9
SUN,3.5105,0.0610,10
SUN,3.9678,0.0464,11
SUN,6.8971,0.0086,12
SUN,5.8795,0.0153,13
SUN,6.1616,0.0131,14
SUN,1.4919,0.2219,15
SUN,1.0567,0.3040,16
SUN,0.0949,0.7581,17
SUN,3.7195,0.0538,18
SUN,2.1400,0.1435,19
SUN,0.4063,0.5239,20
SUN,0.0135,0.9074,21
SUN,5.9752,0.0145,22
SUN,0.8207,0.3650,23
SUN,4.1862,0.0408,24
SUN,0.9825,0.3216,25
SUN,1.4029,0.2362,26
SUN,5.2320,0.0222,27
SUN,0.4145,0.5197,28
SUN,3.5293,0.0603,29
SUN,3.4007,0.0652,30
SUN,0.3402,0.5597,31
SUN,0.1998,0.6548,32
SUN,0.9591,0.3274,33
SUN,4.8334,0.0279,34
SUN,5.9155,0.0150,35
SUN,2.9624,0.0852,36
SUN,3.8615,0.0494,37
SUN,4.2812,0.0385,38
SUN,3.0839,0.0791,39
SUN,0.2369,0.6265,40
SUN,6.7341,0.0095,41
SUN,1.8129,0.1782,42
SUN,0.5589,0.4547,43
SUN,0.6044,0.4369,44
SUN,2.2557,0.1331,45
SUN,0.1665,0.6833,46
SUN,1.8273,0.1764,47
SUN,4.6556,0.0310,48
SUN,5.2592,0.0218,49
SUN,4.6864,0.0304,50
SUN,3.3076,0.0690,51
SUN,1.9873,0.1586,52
SUN,2.1191,0.1455,53
SUN,10.2557,0.0014,54
SUN,10.2848,0.0013,55
SUN,1.3315,0.2485,56
SUN,2.2856,0.1306,57
SUN,1.7996,0.1798,58
SUN,2.0598,0.1512,59
SUN,4.6444,0.0312,60
SUN,2.7313,0.0984,61
SUN,4.7165,0.0299,62
SUN,2.0172,0.1555,63
SUN,0.0243,0.8762,64
SUN,6.5460,0.0105,65
SUN,3.0260,0.0819,66
SUN,5.1276,0.0235,67
SUN,1.3111,0.2522,68
SUN,1.7472,0.1862,69
SUN,6.9506,0.0084,70
SUN,0.3506,0.5538,71
SUN,9.9916,0.0016,72
SUN,3.4339,0.0639,73
SUN,3.0736,0.0796,74
SUN,3.0871,0.0789,75
SUN,1.0878,0.2970,76
SUN,3.4267,0.0641,77
SUN,3.0779,0.0794,78
SUN,5.1835,0.0228,79
SUN,3.2678,0.0707,80
SUN,3.2425,0.0718,81
SUN,0.4421,0.5061,82
SUN,8.5888,0.0034,83
SUN,3.8694,0.0492,84
SUN,9.4878,0.0021,85
SUN,8.0829,0.0045,86
SUN,4.9099,0.0267,87
SUN,1.1907,0.2752,88
SUN,1.5824,0.2084,89
SUN,0.0230,0.8795,90
SUN,1.1441,0.2848,91
SUN,11.6319,0.0006,92
SUN,3.4304,0.0640,93
SUN,0.0422,0.8373,94
SUN,0.2010,0.6539,95
SUN,5.4704,0.0193,96
SUN,0.0182,0.8926,97
SUN,1.8117,0.1783,98
SUN,0.0132,0.9087,99
SUN,6.2384,0.0125,100
