Test,ChiSquare,ProbChiSq,rep
SUN,19.9519,<.0001,1
SUN,18.6858,<.0001,2
SUN,2.5300,0.1117,3
SUN,19.0176,<.0001,4
SUN,12.9446,0.0003,5
SUN,12.5932,0.0004,6
SUN,15.9449,<.0001,7
SUN,23.2101,<.0001,8
SUN,38.5251,<.0001,9
SUN,28.4088,<.0001,10
SUN,19.5000,<.0001,11
SUN,13.4010,0.0003,12
SUN,24.5945,<.0001,13
SUN,15.8335,<.0001,14
SUN,13.4450,0.0002,15
SUN,8.0200,0.0046,16
SUN,30.7756,<.0001,17
SUN,15.3412,<.0001,18
SUN,8.9910,0.0027,19
SUN,5.0490,0.0246,20
SUN,20.0359,<.0001,21
SUN,19.4616,<.0001,22
SUN,20.8735,<.0001,23
SUN,12.6493,0.0004,24
SUN,28.0079,<.0001,25
SUN,10.6746,0.0011,26
SUN,30.3789,<.0001,27
SUN,25.8409,<.0001,28
SUN,16.3321,<.0001,29
SUN,17.8294,<.0001,30
SUN,14.5447,0.0001,31
SUN,4.0551,0.0440,32
SUN,5.0522,0.0246,33
SUN,9.4880,0.0021,34
SUN,8.8829,0.0029,35
SUN,24.9037,<.0001,36
SUN,15.1971,<.0001,37
SUN,19.5999,<.0001,38
SUN,11.4361,0.0007,39
SUN,15.7470,<.0001,40
SUN,16.8930,<.0001,41
SUN,10.8580,0.0010,42
SUN,29.0671,<.0001,43
SUN,19.8735,<.0001,44
SUN,11.6923,0.0006,45
SUN,18.9549,<.0001,46
SUN,31.0282,<.0001,47
SUN,21.2577,<.0001,48
SUN,13.6363,0.0002,49
SUN,13.2305,0.0003,50
SUN,13.7315,0.0002,51
SUN,24.8979,<.0001,52
SUN,16.8145,<.0001,53
SUN,23.8844,<.0001,54
SUN,21.1890,<.0001,55
SUN,24.4595,<.0001,56
SUN,15.0605,0.0001,57
SUN,6.2121,0.0127,58
SUN,9.4780,0.0021,59
SUN,18.6869,<.0001,60
SUN,23.9893,<.0001,61
SUN,20.5266,<.0001,62
SUN,13.2009,0.0003,63
SUN,7.9947,0.0047,64
SUN,13.0614,0.0003,65
SUN,20.0741,<.0001,66
SUN,15.1094,0.0001,67
SUN,6.7929,0.0092,68
SUN,26.8102,<.0001,69
SUN,31.4061,<.0001,70
SUN,20.1129,<.0001,71
SUN,27.2429,<.0001,72
SUN,13.2229,0.0003,73
SUN,23.7820,<.0001,74
SUN,12.3863,0.0004,75
SUN,34.5466,<.0001,76
SUN,34.4406,<.0001,77
SUN,13.0692,0.0003,78
SUN,14.4110,0.0001,79
SUN,40.2344,<.0001,80
SUN,19.3579,<.0001,81
SUN,14.5828,0.0001,82
SUN,28.8901,<.0001,83
SUN,21.6896,<.0001,84
SUN,25.1409,<.0001,85
SUN,24.2962,<.0001,86
SUN,18.5195,<.0001,87
SUN,24.1998,<.0001,88
SUN,9.5536,0.0020,89
SUN,18.4143,<.0001,90
SUN,8.7575,0.0031,91
SUN,30.3018,<.0001,92
SUN,15.7648,<.0001,93
SUN,24.4056,<.0001,94
SUN,10.8901,0.0010,95
SUN,16.7602,<.0001,96
SUN,8.7199,0.0031,97
SUN,29.1286,<.0001,98
SUN,15.8782,<.0001,99
SUN,20.4749,<.0001,100
