Test,ChiSquare,ProbChiSq,rep
SUN,53.7498,<.0001,1
SUN,45.5340,<.0001,2
SUN,51.9891,<.0001,3
SUN,38.4276,<.0001,4
SUN,31.8890,<.0001,5
SUN,34.9089,<.0001,6
SUN,36.8073,<.0001,7
SUN,43.1059,<.0001,8
SUN,29.2308,<.0001,9
SUN,48.7466,<.0001,10
SUN,44.0919,<.0001,11
SUN,35.9173,<.0001,12
SUN,33.9345,<.0001,13
SUN,53.7354,<.0001,14
SUN,37.7700,<.0001,15
SUN,61.2083,<.0001,16
SUN,34.3118,<.0001,17
SUN,22.8955,<.0001,18
SUN,26.8813,<.0001,19
SUN,58.2876,<.0001,20
SUN,47.7876,<.0001,21
SUN,44.2699,<.0001,22
SUN,47.4505,<.0001,23
SUN,42.2767,<.0001,24
SUN,42.8479,<.0001,25
SUN,21.2201,<.0001,26
SUN,40.2401,<.0001,27
SUN,52.4107,<.0001,28
SUN,54.0997,<.0001,29
SUN,42.9673,<.0001,30
SUN,46.6010,<.0001,31
SUN,17.0866,<.0001,32
SUN,66.5422,<.0001,33
SUN,42.1323,<.0001,34
SUN,25.6018,<.0001,35
SUN,32.6892,<.0001,36
SUN,37.8793,<.0001,37
SUN,52.0663,<.0001,38
SUN,34.5472,<.0001,39
SUN,30.9301,<.0001,40
SUN,51.3527,<.0001,41
SUN,48.9489,<.0001,42
SUN,58.6611,<.0001,43
SUN,64.5556,<.0001,44
SUN,40.2563,<.0001,45
SUN,42.1640,<.0001,46
SUN,31.3613,<.0001,47
SUN,29.3648,<.0001,48
SUN,31.7794,<.0001,49
SUN,28.2613,<.0001,50
SUN,23.1845,<.0001,51
SUN,27.7289,<.0001,52
SUN,45.1978,<.0001,53
SUN,20.5350,<.0001,54
SUN,39.1775,<.0001,55
SUN,30.0128,<.0001,56
SUN,46.9372,<.0001,57
SUN,50.5104,<.0001,58
SUN,49.8209,<.0001,59
SUN,42.8352,<.0001,60
SUN,36.6307,<.0001,61
SUN,27.9327,<.0001,62
SUN,37.9111,<.0001,63
SUN,30.4172,<.0001,64
SUN,49.4986,<.0001,65
SUN,54.0986,<.0001,66
SUN,40.2752,<.0001,67
SUN,37.0337,<.0001,68
SUN,44.8421,<.0001,69
SUN,46.5993,<.0001,70
SUN,36.0676,<.0001,71
SUN,35.8145,<.0001,72
SUN,39.5465,<.0001,73
SUN,26.9508,<.0001,74
SUN,38.1654,<.0001,75
SUN,32.2002,<.0001,76
SUN,26.6498,<.0001,77
SUN,46.4993,<.0001,78
SUN,35.9882,<.0001,79
SUN,19.1018,<.0001,80
SUN,62.0732,<.0001,81
SUN,22.8724,<.0001,82
SUN,35.7773,<.0001,83
SUN,44.3788,<.0001,84
SUN,41.0063,<.0001,85
SUN,24.2879,<.0001,86
SUN,39.8428,<.0001,87
SUN,37.7163,<.0001,88
SUN,46.2807,<.0001,89
SUN,23.6221,<.0001,90
SUN,28.9286,<.0001,91
SUN,37.8714,<.0001,92
SUN,25.9706,<.0001,93
SUN,19.5697,<.0001,94
SUN,40.4184,<.0001,95
SUN,25.0706,<.0001,96
SUN,52.3154,<.0001,97
SUN,46.4984,<.0001,98
SUN,28.4482,<.0001,99
SUN,46.4723,<.0001,100
