strata,trt,LeftBoundary,RightBoundary,SurvProb,FailProb,IMStderr,LagrangeMult,SurvProb_LCL,SurvProb_UCL,ConfType
S1,0,0.2180254064,0.2201654082,0.971060991,0.028939009,0.0159293851,0,0.9398399699,1,LINEAR
S1,0,0.4918145631,0.5132874678,0.8858974081,0.1141025919,0.0277336741,0,0.8315404056,0.9402544105,LINEAR
S1,0,0.553883228,0.5834863437,0.8858974081,0.1141025919,0.0277336741,4.8994018911,0.8315404056,0.9402544105,LINEAR
S1,0,0.6921600192,0.6985576525,0.8858974081,0.1141025919,0.0277336741,2.5883667445,0.8315404056,0.9402544105,LINEAR
S1,0,0.7608389142,0.8174673244,0.8858974081,0.1141025919,0.0277336741,12.471110691,0.8315404056,0.9402544105,LINEAR
S1,0,0.8795079025,0.9047606657,0.8858974081,0.1141025919,0.0277336741,16.647948498,0.8315404056,0.9402544105,LINEAR
S1,0,0.9819687176,0.9937256602,0.8550002847,0.1449997153,0.0310479971,0,0.7941473285,0.9158532409,LINEAR
S1,0,1.0505522764,1.0564627293,0.8085529649,0.1914470351,0.0341871042,0,0.741547472,0.8755584578,LINEAR
S1,0,1.0658853138,1.0844616084,0.8085529649,0.1914470351,0.0341871042,0.7093304178,0.741547472,0.8755584578,LINEAR
S1,0,1.1747498866,1.1807825178,0.8085529649,0.1914470351,0.0341871042,6.4062057437,0.741547472,0.8755584578,LINEAR
S1,0,1.2512133769,1.2630764073,0.66568595,0.33431405,0.0403445545,0,0.5866120763,0.7447598237,LINEAR
S1,0,1.2636568546,1.2678654678,0.66568595,0.33431405,0.0403445545,1.2177932849,0.5866120763,0.7447598237,LINEAR
S1,0,1.2921255874,1.29236572,0.5870177454,0.4129822546,0.0397959893,0,0.5090190398,0.6650164511,LINEAR
S1,0,1.333611466,1.3426331435,0.5870177454,0.4129822546,0.0397959893,3.3219974715,0.5090190398,0.6650164511,LINEAR
S1,0,1.3581723329,1.3590383003,0.5870177454,0.4129822546,0.0397959893,9.4817292853,0.5090190398,0.6650164511,LINEAR
S1,0,1.4102805271,1.4110833173,0.5870177454,0.4129822546,0.0397959893,0.8819497739,0.5090190398,0.6650164511,LINEAR
S1,0,1.4537224402,1.4574669529,0.5870177454,0.4129822546,0.0397959893,7.1029201634,0.5090190398,0.6650164511,LINEAR
S1,0,1.4661285914,1.4676017179,0.5870177454,0.4129822546,0.0397959893,7.4636002761,0.5090190398,0.6650164511,LINEAR
S1,0,1.4846847584,1.5004638698,0.5870177454,0.4129822546,0.0397959893,10.854114828,0.5090190398,0.6650164511,LINEAR
S1,0,1.512009637,1.5139199336,0.5870177454,0.4129822546,0.0397959893,6.2045293323,0.5090190398,0.6650164511,LINEAR
S1,0,1.5141385403,1.5230900482,0.5870177454,0.4129822546,0.0397959893,5.809938579,0.5090190398,0.6650164511,LINEAR
S1,0,1.5345588997,1.5361991389,0.5870177454,0.4129822546,0.0397959893,2.5889728985,0.5090190398,0.6650164511,LINEAR
S1,0,1.552964774,1.5623879279,0.5870177454,0.4129822546,0.0397959893,0.2122477156,0.5090190398,0.6650164511,LINEAR
S1,0,1.5633637747,1.5704855411,0.5362630892,0.4637369108,0.0403632553,0,0.4571525624,0.6153736159,LINEAR
S1,0,1.5764865885,1.5868206582,0.5362630892,0.4637369108,0.0403632553,2.1549896923,0.4571525624,0.6153736159,LINEAR
S1,0,1.5977733461,1.5982506293,0.5362630892,0.4637369108,0.0403632553,2.0099414453,0.4571525624,0.6153736159,LINEAR
S1,0,1.6195976674,1.6477910955,0.4577339366,0.5422660634,0.0391350324,0,0.3810306826,0.5344371906,LINEAR
S1,0,1.6602993468,1.6674518464,0.4577339366,0.5422660634,0.0391350324,6.7242253084,0.3810306826,0.5344371906,LINEAR
S1,0,1.6922348323,1.6949771028,0.4577339366,0.5422660634,0.0391350324,6.8634189606,0.3810306826,0.5344371906,LINEAR
S1,0,1.743496649,1.7488540541,0.4577339366,0.5422660634,0.0391350324,9.6157894877,0.3810306826,0.5344371906,LINEAR
S1,0,1.7587859863,1.7605174905,0.4577339366,0.5422660634,0.0391350324,11.501234802,0.3810306826,0.5344371906,LINEAR
S1,0,1.8075718037,1.8083365606,0.4577339366,0.5422660634,0.0391350324,16.845170501,0.3810306826,0.5344371906,LINEAR
S1,0,1.8170992071,1.8222857029,0.4577339366,0.5422660634,0.0391350324,13.660662954,0.3810306826,0.5344371906,LINEAR
S1,0,1.8388718329,1.8576519424,0.4577339366,0.5422660634,0.0391350324,12.776284238,0.3810306826,0.5344371906,LINEAR
S1,0,1.8712359518,1.8718472798,0.4577339366,0.5422660634,0.0391350324,15.516851564,0.3810306826,0.5344371906,LINEAR
S1,0,1.8985678512,1.9095768481,0.4577339366,0.5422660634,0.0391350324,16.894485015,0.3810306826,0.5344371906,LINEAR
S1,0,1.9126630304,1.914921618,0.4577339366,0.5422660634,0.0391350324,11.501339097,0.3810306826,0.5344371906,LINEAR
S1,0,1.916781608,1.9174427534,0.4577339366,0.5422660634,0.0391350324,8.917333576,0.3810306826,0.5344371906,LINEAR
S1,0,1.9387233621,1.9425535751,0.4577339366,0.5422660634,0.0391350324,9.1604898146,0.3810306826,0.5344371906,LINEAR
S1,0,1.9453532561,1.9483045721,0.4577339366,0.5422660634,0.0391350324,5.2722506955,0.3810306826,0.5344371906,LINEAR
S1,0,1.9648538232,1.9724088627,0.4577339366,0.5422660634,0.0391350324,14.388008349,0.3810306826,0.5344371906,LINEAR
S1,0,1.9772430048,2.007076526,0.4577339366,0.5422660634,0.0391350324,12.295446188,0.3810306826,0.5344371906,LINEAR
S1,0,2.0538243642,2.0568362157,0.4577339366,0.5422660634,0.0391350324,9.393763756,0.3810306826,0.5344371906,LINEAR
S1,0,2.10274977,2.1084217336,0.345315335,0.654684665,0.0396493519,0,0.2676040333,0.4230266367,LINEAR
S1,0,2.1121637374,2.124332658,0.2319043992,0.7680956008,0.0328718802,0,0.167476698,0.2963321004,LINEAR
S1,0,2.2141475091,2.215640671,0.2319043992,0.7680956008,0.0328718802,4.166376753,0.167476698,0.2963321004,LINEAR
S1,0,2.2576423124,2.3041433254,0.2319043992,0.7680956008,0.0328718802,2.7808509879,0.167476698,0.2963321004,LINEAR
S1,0,2.3825066374,2.4228886975,0.2319043992,0.7680956008,0.0328718802,25.21294661,0.167476698,0.2963321004,LINEAR
S1,0,2.4899687148,2.5072448584,0.2319043992,0.7680956008,0.0328718802,26.749991861,0.167476698,0.2963321004,LINEAR
S1,0,2.5400315933,2.5515990466,0.2319043992,0.7680956008,0.0328718802,25.016583318,0.167476698,0.2963321004,LINEAR
S1,0,2.5707262298,2.571112609,0.2319043992,0.7680956008,0.0328718802,27.44283639,0.167476698,0.2963321004,LINEAR
S1,0,2.5854828139,2.5980821526,0.2319043992,0.7680956008,0.0328718802,24.154036784,0.167476698,0.2963321004,LINEAR
S1,0,2.6055820026,2.6337246433,0.2319043992,0.7680956008,0.0328718802,22.599395658,0.167476698,0.2963321004,LINEAR
S1,0,2.653681397,2.6551026771,0.2319043992,0.7680956008,0.0328718802,16.295065947,0.167476698,0.2963321004,LINEAR
S1,0,2.6681985389,2.6799888387,0.2319043992,0.7680956008,0.0328718802,9.7173224542,0.167476698,0.2963321004,LINEAR
S1,0,2.6963786278,2.703659397,0.2319043992,0.7680956008,0.0328718802,5.6339366497,0.167476698,0.2963321004,LINEAR
