Test,ChiSquare,ProbChiSq,rep
SUN,39.5293,<.0001,1
SUN,18.7632,<.0001,2
SUN,18.0988,<.0001,3
SUN,24.2261,<.0001,4
SUN,50.1112,<.0001,5
SUN,48.5882,<.0001,6
SUN,41.9612,<.0001,7
SUN,11.8472,0.0006,8
SUN,36.5587,<.0001,9
SUN,41.0347,<.0001,10
SUN,46.7885,<.0001,11
SUN,36.2304,<.0001,12
SUN,38.2407,<.0001,13
SUN,34.4560,<.0001,14
SUN,32.3948,<.0001,15
SUN,30.1044,<.0001,16
SUN,19.5388,<.0001,17
SUN,39.1706,<.0001,18
SUN,47.6937,<.0001,19
SUN,40.0493,<.0001,20
SUN,28.2435,<.0001,21
SUN,44.2215,<.0001,22
SUN,27.4477,<.0001,23
SUN,33.1804,<.0001,24
SUN,21.7047,<.0001,25
SUN,43.3104,<.0001,26
SUN,30.7140,<.0001,27
SUN,24.6771,<.0001,28
SUN,33.3829,<.0001,29
SUN,21.3590,<.0001,30
SUN,55.5066,<.0001,31
SUN,23.7915,<.0001,32
SUN,30.1903,<.0001,33
SUN,25.0016,<.0001,34
SUN,51.5775,<.0001,35
SUN,23.2114,<.0001,36
SUN,37.8207,<.0001,37
SUN,33.5900,<.0001,38
SUN,44.9289,<.0001,39
SUN,32.6352,<.0001,40
SUN,32.5686,<.0001,41
SUN,32.1814,<.0001,42
SUN,46.3092,<.0001,43
SUN,33.8015,<.0001,44
SUN,16.1277,<.0001,45
SUN,20.2857,<.0001,46
SUN,12.6423,0.0004,47
SUN,39.5025,<.0001,48
SUN,42.9396,<.0001,49
SUN,27.0853,<.0001,50
SUN,23.5663,<.0001,51
SUN,36.6562,<.0001,52
SUN,40.9219,<.0001,53
SUN,25.8041,<.0001,54
SUN,45.0430,<.0001,55
SUN,10.6289,0.0011,56
SUN,27.8307,<.0001,57
SUN,20.6674,<.0001,58
SUN,48.8541,<.0001,59
SUN,62.9988,<.0001,60
SUN,42.3990,<.0001,61
SUN,9.6075,0.0019,62
SUN,35.1448,<.0001,63
SUN,29.5613,<.0001,64
SUN,31.3180,<.0001,65
SUN,44.5931,<.0001,66
SUN,23.9689,<.0001,67
SUN,23.5433,<.0001,68
SUN,29.1108,<.0001,69
SUN,48.4025,<.0001,70
SUN,50.7113,<.0001,71
SUN,41.1292,<.0001,72
SUN,46.6351,<.0001,73
SUN,57.6345,<.0001,74
SUN,10.4616,0.0012,75
SUN,44.9157,<.0001,76
SUN,27.4211,<.0001,77
SUN,15.5959,<.0001,78
SUN,42.3038,<.0001,79
SUN,27.2260,<.0001,80
SUN,49.3383,<.0001,81
SUN,39.5362,<.0001,82
SUN,29.4694,<.0001,83
SUN,30.0029,<.0001,84
SUN,23.6718,<.0001,85
SUN,16.0127,<.0001,86
SUN,31.0216,<.0001,87
SUN,33.5235,<.0001,88
SUN,52.4893,<.0001,89
SUN,61.8400,<.0001,90
SUN,43.9065,<.0001,91
SUN,35.1500,<.0001,92
SUN,32.8916,<.0001,93
SUN,12.2337,0.0005,94
SUN,20.4641,<.0001,95
SUN,27.3871,<.0001,96
SUN,30.0702,<.0001,97
SUN,27.9010,<.0001,98
SUN,31.1360,<.0001,99
SUN,18.5036,<.0001,100
