strata,trt,LeftBoundary,RightBoundary,SurvProb,FailProb,IMStderr,LagrangeMult,SurvProb_LCL,SurvProb_UCL,ConfType
S1,0,0.3880297118,0.3972119907,0.9261858203,0.0738141797,0.0232635314,0,0.8805901366,0.9717815041,LINEAR
S1,0,0.547545068,0.5485385237,0.9261858203,0.0738141797,0.0232635314,0.6638725053,0.8805901366,0.9717815041,LINEAR
S1,0,0.6343481662,0.6536536701,0.9231558084,0.0768441916,0.0236743663,0,0.876754903,0.9695567137,LINEAR
S1,0,0.6708314987,0.6864696196,0.9231558084,0.0768441916,0.0236743663,11.930063925,0.876754903,0.9695567137,LINEAR
S1,0,0.8519176072,0.8734461446,0.7732271844,0.2267728156,0.0358103702,0,0.7030401484,0.8434142203,LINEAR
S1,0,0.8791509774,0.8815602548,0.7732271844,0.2267728156,0.0358103702,2.2631498114,0.7030401484,0.8434142203,LINEAR
S1,0,0.8981510573,0.8997792727,0.7732271844,0.2267728156,0.0358103702,3.9434005588,0.7030401484,0.8434142203,LINEAR
S1,0,0.9877957194,0.9915568791,0.7732271844,0.2267728156,0.0358103702,26.958758533,0.7030401484,0.8434142203,LINEAR
S1,0,1.0048541659,1.0073960237,0.7732271844,0.2267728156,0.0358103702,28.115423196,0.7030401484,0.8434142203,LINEAR
S1,0,1.0563324015,1.0577843422,0.7732271844,0.2267728156,0.0358103702,28.942449403,0.7030401484,0.8434142203,LINEAR
S1,0,1.0782110016,1.078832013,0.7732271844,0.2267728156,0.0358103702,18.65803892,0.7030401484,0.8434142203,LINEAR
S1,0,1.1194027252,1.1224653441,0.7732271844,0.2267728156,0.0358103702,11.887958468,0.7030401484,0.8434142203,LINEAR
S1,0,1.1961955545,1.1990001569,0.7381047248,0.2618952752,0.0378407661,0,0.6639381861,0.8122712635,LINEAR
S1,0,1.2185624042,1.2203666381,0.7381047248,0.2618952752,0.0378407661,6.1119992009,0.6639381861,0.8122712635,LINEAR
S1,0,1.2262105406,1.2279012184,0.7381047248,0.2618952752,0.0378407661,5.6680834235,0.6639381861,0.8122712635,LINEAR
S1,0,1.263666729,1.2794462167,0.7381047248,0.2618952752,0.0378407661,3.1572011824,0.6639381861,0.8122712635,LINEAR
S1,0,1.3234469458,1.3246240667,0.6567345273,0.3432654727,0.040476895,0,0.5774012709,0.7360677836,LINEAR
S1,0,1.3251146716,1.3285130304,0.6567345273,0.3432654727,0.040476895,1.1884880978,0.5774012709,0.7360677836,LINEAR
S1,0,1.3450832255,1.3513844567,0.6567345273,0.3432654727,0.040476895,6.5253163382,0.5774012709,0.7360677836,LINEAR
S1,0,1.3607692029,1.3620229535,0.6567345273,0.3432654727,0.040476895,11.862144579,0.5774012709,0.7360677836,LINEAR
S1,0,1.3666644916,1.3805179372,0.6567345273,0.3432654727,0.040476895,12.470691645,0.5774012709,0.7360677836,LINEAR
S1,0,1.4311610283,1.4502154327,0.6567345273,0.3432654727,0.040476895,10.796964,0.5774012709,0.7360677836,LINEAR
S1,0,1.4619873716,1.4622392882,0.6567345273,0.3432654727,0.040476895,9.6830328272,0.5774012709,0.7360677836,LINEAR
S1,0,1.4998244341,1.5024210121,0.4381993931,0.5618006069,0.0409220731,0,0.3579936035,0.5184051826,LINEAR
S1,0,1.5117226811,1.5166734708,0.4381993931,0.5618006069,0.0409220731,0.7920238226,0.3579936035,0.5184051826,LINEAR
S1,0,1.5352056688,1.5401736958,0.4381993931,0.5618006069,0.0409220731,3.6981860446,0.3579936035,0.5184051826,LINEAR
S1,0,1.5544667435,1.5574078401,0.4239036605,0.5760963395,0.04042724,0,0.3446677261,0.5031395949,LINEAR
S1,0,1.5856883172,1.5929029849,0.4239036605,0.5760963395,0.04042724,0.5896467359,0.3446677261,0.5031395949,LINEAR
S1,0,1.612066234,1.6190971382,0.4103205051,0.5896794949,0.0400468373,0,0.3318301463,0.4888108639,LINEAR
S1,0,1.6344438717,1.6366597008,0.4103205051,0.5896794949,0.0400468373,0.6416845573,0.3318301463,0.4888108639,LINEAR
S1,0,1.6635050476,1.665098784,0.4103205051,0.5896794949,0.0400468373,8.0598739503,0.3318301463,0.4888108639,LINEAR
S1,0,1.6837880732,1.6893748021,0.4103205051,0.5896794949,0.0400468373,5.5137260227,0.3318301463,0.4888108639,LINEAR
S1,0,1.7109454786,1.7116098701,0.4103205051,0.5896794949,0.0400468373,8.1681413526,0.3318301463,0.4888108639,LINEAR
S1,0,1.7346495101,1.7376295193,0.4103205051,0.5896794949,0.0400468373,6.8644943428,0.3318301463,0.4888108639,LINEAR
S1,0,1.7593741501,1.7652893718,0.4103205051,0.5896794949,0.0400468373,3.436010184,0.3318301463,0.4888108639,LINEAR
S1,0,1.7940336857,1.7944792145,0.3661860243,0.6338139757,0.0387291372,0,0.2902783104,0.4420937383,LINEAR
S1,0,1.8638964524,1.8647345909,0.3661860243,0.6338139757,0.0387291372,11.38530454,0.2902783104,0.4420937383,LINEAR
S1,0,1.8823482632,1.8949390281,0.3073536996,0.6926463004,0.0365017812,0,0.235811523,0.3788958762,LINEAR
S1,0,1.9105946631,1.9115344015,0.3073536996,0.6926463004,0.0365017812,2.5073310693,0.235811523,0.3788958762,LINEAR
S1,0,1.9213003134,1.9242585576,0.3073536996,0.6926463004,0.0365017812,1.1818282368,0.235811523,0.3788958762,LINEAR
S1,0,2.0014372575,2.0137336803,0.3073536996,0.6926463004,0.0365017812,13.750677717,0.235811523,0.3788958762,LINEAR
S1,0,2.0724587655,2.0728274318,0.3073536996,0.6926463004,0.0365017812,13.73694268,0.235811523,0.3788958762,LINEAR
S1,0,2.1313935961,2.1432062778,0.3073536996,0.6926463004,0.0365017812,11.570087492,0.235811523,0.3788958762,LINEAR
S1,0,2.1808040948,2.1946263671,0.3073536996,0.6926463004,0.0365017812,11.620194612,0.235811523,0.3788958762,LINEAR
S1,0,2.2202766612,2.2353456546,0.3073536996,0.6926463004,0.0365017812,9.9825612709,0.235811523,0.3788958762,LINEAR
S1,0,2.3103547888,2.3164503485,0.3073536996,0.6926463004,0.0365017812,6.151606358,0.235811523,0.3788958762,LINEAR
S1,0,2.3216766962,2.3243927578,0.3073536996,0.6926463004,0.0365017812,4.513973017,0.235811523,0.3788958762,LINEAR
S1,0,2.3429844389,2.3542939992,0.3073536996,0.6926463004,0.0365017812,4.4450956322,0.235811523,0.3788958762,LINEAR
S1,0,2.3836604417,2.384070741,0.3073536996,0.6926463004,0.0365017812,4.439311752,0.235811523,0.3788958762,LINEAR
S1,0,2.4058924685,2.4172843275,0.3073536996,0.6926463004,0.0365017812,13.843362719,0.235811523,0.3788958762,LINEAR
S1,0,2.4499430829,2.4765535066,0.3073536996,0.6926463004,0.0365017812,6.2291267603,0.235811523,0.3788958762,LINEAR
S1,0,2.4766221773,2.4837128208,0.3073536996,0.6926463004,0.0365017812,3.5273545089,0.235811523,0.3788958762,LINEAR
S1,0,2.5108004641,2.5170808779,0.2228291795,0.7771708205,0.0356328488,0,0.1529900792,0.2926682798,LINEAR
S1,0,2.5510792308,2.5517008523,0.2228291795,0.7771708205,0.0356328488,0.1584858711,0.1529900792,0.2926682798,LINEAR
S1,0,2.6123509067,2.6206476218,0.2228291795,0.7771708205,0.0356328488,5.3416827151,0.1529900792,0.2926682798,LINEAR
S1,0,2.6216935492,2.6235642316,0.2228291795,0.7771708205,0.0356328488,2.6708071724,0.1529900792,0.2926682798,LINEAR
S1,0,2.6365454444,2.659534723,0.145037325,0.854962675,0.0311637663,0,0.0839574653,0.2061171846,LINEAR
S1,0,2.7065956108,2.7231533969,0.145037325,0.854962675,0.0311637663,2.2372629154,0.0839574653,0.2061171846,LINEAR
S1,0,2.7941246461,2.7957210168,0.0769297721,0.9230702279,0.0219307443,0,0.0339463032,0.119913241,LINEAR
S1,0,2.9458885118,2.9762152414,0.0769297721,0.9230702279,0.0219307443,12.498031545,0.0339463032,0.119913241,LINEAR
S1,0,3.0420873053,3.0640385318,0.0769297721,0.9230702279,0.0219307443,9.999359932,0.0339463032,0.119913241,LINEAR
S1,0,3.1129369796,3.1168171535,0.076175669,0.923824331,0.0217669275,0,0.033513275,0.118838063,LINEAR
S1,0,3.2857013037,3.3950103153,0.076175669,0.923824331,0.0217669275,5.3537071012,0.033513275,0.118838063,LINEAR
S1,0,3.4152196678,3.4589305738,0.0699919914,0.9300080086,0.0216063628,0,0.0276442986,0.1123396843,LINEAR
S1,0,3.5320035042,3.5624038986,0.0381861344,0.9618138656,0.0193678561,0,0.0002258341,0.0761464348,LINEAR
S1,0,3.8469614098,3.8871161621,0,1,0,0,0,0,LINEAR
S1,1,0.4988493994,0.5042434735,0.8488893406,0.1511106594,0.0333245347,0,0.7835744527,0.9142042284,LINEAR
S1,1,0.5383505006,0.5552654676,0.8488893406,0.1511106594,0.0333245347,2.2378680923,0.7835744527,0.9142042284,LINEAR
S1,1,0.6060961504,0.6080072387,0.8001158119,0.1998841881,0.0366282481,0,0.7283257648,0.8719058589,LINEAR
S1,1,0.6139533329,0.6535976417,0.8001158119,0.1998841881,0.0366282481,1.9389070959,0.7283257648,0.8719058589,LINEAR
S1,1,0.7186386613,0.7503734468,0.7673077528,0.2326922472,0.0381223372,0,0.692589345,0.8420261607,LINEAR
S1,1,0.7571965139,0.7715708264,0.7673077528,0.2326922472,0.0381223372,0.0638773848,0.692589345,0.8420261607,LINEAR
S1,1,0.7840323229,0.7866828748,0.7448809589,0.2551190411,0.0390555875,0,0.668333414,0.8214285039,LINEAR
S1,1,0.8336683945,0.8475582022,0.7448809589,0.2551190411,0.0390555875,1.8557046843,0.668333414,0.8214285039,LINEAR
S1,1,0.8727739993,0.8830920332,0.7448809589,0.2551190411,0.0390555875,4.585929874,0.668333414,0.8214285039,LINEAR
S1,1,0.936630548,0.9374195104,0.7448809589,0.2551190411,0.0390555875,0.6449024395,0.668333414,0.8214285039,LINEAR
S1,1,0.9388555516,0.9404398305,0.7448809589,0.2551190411,0.0390555875,0.8020795888,0.668333414,0.8214285039,LINEAR
S1,1,0.9570923643,0.965083423,0.7448809589,0.2551190411,0.0390555875,3.3237535867,0.668333414,0.8214285039,LINEAR
S1,1,0.9681244316,0.9719904358,0.7448809589,0.2551190411,0.0390555875,5.9009959792,0.668333414,0.8214285039,LINEAR
S1,1,1.0250274329,1.0277661588,0.7448809589,0.2551190411,0.0390555875,7.0801735849,0.668333414,0.8214285039,LINEAR
S1,1,1.0603107736,1.0660218098,0.6097820458,0.3902179542,0.0430702115,0,0.5253659823,0.6941981092,LINEAR
S1,1,1.0745014758,1.0887498604,0.6097820458,0.3902179542,0.0430702115,0.772058924,0.5253659823,0.6941981092,LINEAR
S1,1,1.1015552003,1.1045111911,0.6097820458,0.3902179542,0.0430702115,4.1067777141,0.5253659823,0.6941981092,LINEAR
S1,1,1.1528305104,1.1591502944,0.5356337816,0.4643662184,0.0430855859,0,0.451187585,0.6200799783,LINEAR
S1,1,1.1823051395,1.1876467084,0.5356337816,0.4643662184,0.0430855859,0.0887178606,0.451187585,0.6200799783,LINEAR
S1,1,1.2347599766,1.2388510676,0.5356337816,0.4643662184,0.0430855859,13.768171408,0.451187585,0.6200799783,LINEAR
S1,1,1.2482763226,1.2541582188,0.5356337816,0.4643662184,0.0430855859,9.9337600916,0.451187585,0.6200799783,LINEAR
S1,1,1.2542292336,1.2559489039,0.5356337816,0.4643662184,0.0430855859,10.220285627,0.451187585,0.6200799783,LINEAR
S1,1,1.265947429,1.2683611228,0.5356337816,0.4643662184,0.0430855859,10.506811162,0.451187585,0.6200799783,LINEAR
S1,1,1.269451451,1.281238317,0.5356337816,0.4643662184,0.0430855859,10.595520095,0.451187585,0.6200799783,LINEAR
S1,1,1.3343027965,1.3418473233,0.5356337816,0.4643662184,0.0430855859,3.2700618845,0.451187585,0.6200799783,LINEAR
S1,1,1.3662806875,1.3664097497,0.4272292905,0.5727707095,0.0426857876,0,0.3435666841,0.5108918968,LINEAR
S1,1,1.3953584041,1.3987688017,0.4272292905,0.5727707095,0.0426857876,5.4503604295,0.3435666841,0.5108918968,LINEAR
S1,1,1.4201612477,1.4205314633,0.4148225315,0.5851774685,0.0423321096,0,0.3318531213,0.4977919417,LINEAR
S1,1,1.4358493658,1.4362644683,0.4148225315,0.5851774685,0.0423321096,1.0070834006,0.3318531213,0.4977919417,LINEAR
S1,1,1.4742620378,1.4744635731,0.4148225315,0.5851774685,0.0423321096,6.2197427279,0.3318531213,0.4977919417,LINEAR
S1,1,1.4848148888,1.4884936404,0.4148225315,0.5851774685,0.0423321096,5.5179565813,0.3318531213,0.4977919417,LINEAR
S1,1,1.492499643,1.503286337,0.4148225315,0.5851774685,0.0423321096,6.1847342398,0.3318531213,0.4977919417,LINEAR
S1,1,1.5129177561,1.513015137,0.4148225315,0.5851774685,0.0423321096,4.4408424577,0.3318531213,0.4977919417,LINEAR
S1,1,1.527080657,1.5443321908,0.3147601356,0.6852398644,0.0395241936,0,0.2372941396,0.3922261317,LINEAR
S1,1,1.5508110435,1.5543830809,0.3147601356,0.6852398644,0.0395241936,2.8013829283,0.2372941396,0.3922261317,LINEAR
S1,1,1.5593647817,1.5750991352,0.3147601356,0.6852398644,0.0395241936,3.2315671047,0.2372941396,0.3922261317,LINEAR
S1,1,1.6109322067,1.6143600982,0.3147601356,0.6852398644,0.0395241936,7.2918139297,0.2372941396,0.3922261317,LINEAR
S1,1,1.6210454791,1.6220060149,0.3147601356,0.6852398644,0.0395241936,5.6955834439,0.2372941396,0.3922261317,LINEAR
S1,1,1.6570539414,1.6633341596,0.3147601356,0.6852398644,0.0395241936,3.3897082867,0.2372941396,0.3922261317,LINEAR
S1,1,1.684165752,1.6959910849,0.3147601356,0.6852398644,0.0395241936,4.7401612969,0.2372941396,0.3922261317,LINEAR
