Test,ChiSquare,ProbChiSq,rep
SUN,23.3896,<.0001,1
SUN,32.6463,<.0001,2
SUN,17.8198,<.0001,3
SUN,39.1430,<.0001,4
SUN,43.0230,<.0001,5
SUN,21.2713,<.0001,6
SUN,12.5316,0.0004,7
SUN,43.5775,<.0001,8
SUN,17.8531,<.0001,9
SUN,14.0233,0.0002,10
SUN,37.6743,<.0001,11
SUN,29.0285,<.0001,12
SUN,31.3815,<.0001,13
SUN,14.1590,0.0002,14
SUN,22.3139,<.0001,15
SUN,11.4779,0.0007,16
SUN,26.1564,<.0001,17
SUN,10.1309,0.0015,18
SUN,26.0843,<.0001,19
SUN,32.2180,<.0001,20
SUN,31.9445,<.0001,21
SUN,35.7837,<.0001,22
SUN,30.2097,<.0001,23
SUN,22.9072,<.0001,24
SUN,11.4249,0.0007,25
SUN,31.9147,<.0001,26
SUN,18.3862,<.0001,27
SUN,27.2186,<.0001,28
SUN,22.7691,<.0001,29
SUN,11.3924,0.0007,30
SUN,28.2149,<.0001,31
SUN,21.2225,<.0001,32
SUN,27.2018,<.0001,33
SUN,31.2382,<.0001,34
SUN,25.8003,<.0001,35
SUN,27.5582,<.0001,36
SUN,38.2914,<.0001,37
SUN,41.2017,<.0001,38
SUN,39.6088,<.0001,39
SUN,19.5161,<.0001,40
SUN,40.8507,<.0001,41
SUN,31.7909,<.0001,42
SUN,11.0103,0.0009,43
SUN,21.5280,<.0001,44
SUN,20.2850,<.0001,45
SUN,27.7686,<.0001,46
SUN,24.4294,<.0001,47
SUN,33.2138,<.0001,48
SUN,28.3251,<.0001,49
SUN,28.5639,<.0001,50
SUN,32.6891,<.0001,51
SUN,19.6814,<.0001,52
SUN,53.1439,<.0001,53
SUN,26.3048,<.0001,54
SUN,37.6001,<.0001,55
SUN,33.5252,<.0001,56
SUN,21.5231,<.0001,57
SUN,25.0929,<.0001,58
SUN,24.1242,<.0001,59
SUN,12.0189,0.0005,60
SUN,19.3368,<.0001,61
SUN,31.7835,<.0001,62
SUN,20.5216,<.0001,63
SUN,29.5985,<.0001,64
SUN,42.4894,<.0001,65
SUN,20.7804,<.0001,66
SUN,29.5440,<.0001,67
SUN,49.4516,<.0001,68
SUN,17.7217,<.0001,69
SUN,41.8716,<.0001,70
SUN,29.9301,<.0001,71
SUN,36.4147,<.0001,72
SUN,16.4821,<.0001,73
SUN,35.9640,<.0001,74
SUN,8.5612,0.0034,75
SUN,17.9817,<.0001,76
SUN,42.7245,<.0001,77
SUN,16.9801,<.0001,78
SUN,19.6628,<.0001,79
SUN,23.7615,<.0001,80
SUN,14.2265,0.0002,81
SUN,16.5800,<.0001,82
SUN,23.6973,<.0001,83
SUN,9.0164,0.0027,84
SUN,23.7142,<.0001,85
SUN,32.8134,<.0001,86
SUN,23.9899,<.0001,87
SUN,21.3090,<.0001,88
SUN,22.3903,<.0001,89
SUN,43.5301,<.0001,90
SUN,21.8210,<.0001,91
SUN,30.2125,<.0001,92
SUN,28.1044,<.0001,93
SUN,25.3159,<.0001,94
SUN,28.3516,<.0001,95
SUN,24.0896,<.0001,96
SUN,12.8587,0.0003,97
SUN,32.2053,<.0001,98
SUN,31.6953,<.0001,99
SUN,22.2857,<.0001,100
