strata,trt,LeftBoundary,RightBoundary,SurvProb,FailProb,IMStderr,LagrangeMult,SurvProb_LCL,SurvProb_UCL,ConfType
S1,0,0.2313272031,0.234947866,0.9559998288,0.0440001712,0.0190441604,0,0.9186739603,0.9933256973,LINEAR
S1,0,0.2406701946,0.2412857867,0.9446310826,0.0553689174,0.0207165565,0,0.9040273781,0.9852347871,LINEAR
S1,0,0.3160864862,0.3195471798,0.9168178514,0.0831821486,0.0242096963,0,0.8693677187,0.9642679841,LINEAR
S1,0,0.3706022799,0.3773605867,0.9031816143,0.0968183857,0.0253127857,0,0.853569466,0.9527937626,LINEAR
S1,0,0.3782093851,0.4087746306,0.9031816143,0.0968183857,0.0253127857,5.5831592699,0.853569466,0.9527937626,LINEAR
S1,0,0.4312581662,0.4364617264,0.8954225137,0.1045774863,0.0259221544,0,0.8446160247,0.9462290026,LINEAR
S1,0,0.5109386574,0.5131123065,0.8350328376,0.1649671624,0.0303549852,0,0.7755381598,0.8945275153,LINEAR
S1,0,0.5223614711,0.5281195137,0.8350328376,0.1649671624,0.0303549852,3.4963931853,0.7755381598,0.8945275153,LINEAR
S1,0,0.6293111208,0.6297345268,0.8121067049,0.1878932951,0.0315088999,0,0.7503503959,0.8738630139,LINEAR
S1,0,0.6318291319,0.6369178404,0.8121067049,0.1878932951,0.0315088999,3.1285325018,0.7503503959,0.8738630139,LINEAR
S1,0,0.6751144577,0.687829389,0.8121067049,0.1878932951,0.0315088999,1.8694771501,0.7503503959,0.8738630139,LINEAR
S1,0,0.6922031713,0.6972756336,0.7777869198,0.2222130802,0.0333077714,0,0.7125048875,0.8430689522,LINEAR
S1,0,0.6973594667,0.6996958001,0.7777869198,0.2222130802,0.0333077714,5.9070108934,0.7125048875,0.8430689522,LINEAR
S1,0,0.7058664747,0.7075799098,0.7777869198,0.2222130802,0.0333077714,13.393648489,0.7125048875,0.8430689522,LINEAR
S1,0,0.7173509744,0.7220863893,0.7777869198,0.2222130802,0.0333077714,20.02166559,0.7125048875,0.8430689522,LINEAR
S1,0,0.776771259,0.7772741091,0.7777869198,0.2222130802,0.0333077714,3.4527849413,0.7125048875,0.8430689522,LINEAR
S1,0,0.7773852139,0.782055835,0.7777869198,0.2222130802,0.0333077714,9.5812601996,0.7125048875,0.8430689522,LINEAR
S1,0,0.8074373563,0.8081103703,0.7777869198,0.2222130802,0.0333077714,5.0165419262,0.7125048875,0.8430689522,LINEAR
