b1,se1,c1,it1,rep
.12202293,.11733519,5000,5000,1
.075667508,.1038129,5000,,2
.049549803,.11964881,,,3
.086480424,.12012147,,,4
.057436235,.10178532,,,5
-.098164998,.11670498,,,6
-.22800379,.11946467,,,7
-.23426941,.11830866,,,8
-.0058942512,.11445579,,,9
.0032264511,.12113827,,,10
-.096111216,.11773545,,,11
.062547602,.11753672,,,12
-.089884885,.11806546,,,13
.25728902,.11717085,,,14
-.085015245,.11898939,,,15
.00067023624,.11616602,,,16
.041212503,.11521272,,,17
.01111313,.11610849,,,18
-.30248797,.11834569,,,19
-.11714445,2.0404607e-11,,,20
-.027458634,.10288648,,,21
-.23512675,.12068496,,,22
.11450849,.11779497,,,23
.039305303,.11441981,,,24
-.096961096,.11981535,,,25
-.11400685,.11655405,,,26
-.20270275,.11517736,,,27
-.022769084,.11473431,,,28
.031839345,.00060149172,,,29
.04638347,.11799612,,,30
.10768218,.11595615,,,31
-.14784148,.11832451,,,32
-.024444429,.028298641,,,33
-.04989234,.11498565,,,34
.089923099,.014903468,,,35
-.033936113,.11790584,,,36
-.24522088,.11557244,,,37
-.034117319,.075888067,,,38
-.11884698,.11340824,,,39
-.1055508,.11735923,,,40
.14639582,.11424197,,,41
.089884304,.051053982,,,42
.11206426,.11525499,,,43
.027045712,.11815043,,,44
-.14541316,.11642843,,,45
-.015188231,.11257069,,,46
.0056351833,.1184652,,,47
-.034381237,.11667773,,,48
-.0046937326,9.8896260e-13,,,49
-.040272158,.080776259,,,50
.0019601418,.11473804,,,51
.031265125,.11811537,,,52
-.099555358,.11830789,,,53
.03770287,.11467244,,,54
-.0035577891,.0040090927,,,55
-.26395977,.11811443,,,56
-.031127498,.11147245,,,57
-.030051714,.11516081,,,58
.10049891,.11763366,,,59
-.015444685,.12132246,,,60
.015583814,.11911656,,,61
.14074959,.1150252,,,62
.12051092,.11628007,,,63
-.14466383,.11840916,,,64
-.30300835,.11812002,,,65
-.024341905,.12108699,,,66
-.03313427,.11588845,,,67
.060228664,.11489613,,,68
-.11576429,.086941138,,,69
.2592552,.11551264,,,70
.092072532,.11636118,,,71
-.041920021,.11585136,,,72
.088725083,.11747692,,,73
-.014950148,.11863539,,,74
-.15604576,.11469156,,,75
-.05789021,.11498858,,,76
-.021971926,6.1775474e-11,,,77
.050451484,.11754318,,,78
-.10478865,.11723195,,,79
-.049827978,.12013367,,,80
.0076367278,.1161202,,,81
.19050626,.11896729,,,82
-.00022064082,.061418794,,,83
-.15623438,.11619952,,,84
-.08031211,.11968873,,,85
-.016469577,.11262086,,,86
.077744089,.12055064,,,87
-.032009572,.10809792,,,88
-.05036157,.11743329,,,89
.035061195,.11774499,,,90
-.14071405,.11422254,,,91
-.12412464,.11692243,,,92
-.076025307,.12013842,,,93
-.057525955,.11854727,,,94
.077312857,.1158236,,,95
.024459161,.11663193,,,96
.019156326,.12175287,,,97
.079158805,.11857387,,,98
-.070641682,.11540189,,,99
.057789225,.11612842,,,100
