b1,se1,c1,it1,rep
.67058372,.12054706,3264,3264,1
.25644699,.12252728,5000,,2
.48851588,.11579894,,,3
.61067235,.12058513,,,4
.446132,.1176522,,,5
.51020843,.11930187,,,6
.49950287,.11600835,,,7
.55357361,.11734026,,,8
.49004257,.12074517,,,9
.31640917,.11793666,,,10
.55886,.12057252,,,11
.64541113,.11951341,,,12
.45796856,.12621772,,,13
.47031894,.11927847,,,14
.47516391,.10405903,,,15
.56305635,.11962947,,,16
.42043748,.11924055,,,17
.4499827,.12110962,,,18
.46810693,.11537198,,,19
.55672532,.1203299,,,20
.49850973,.11934681,,,21
.73184544,.11996297,,,22
.63456064,.12206946,,,23
.73372668,.12081614,,,24
.45481688,.11937941,,,25
.61397821,.11920033,,,26
.58056819,.11548677,,,27
.47598672,.12040652,,,28
.37131414,.11975092,,,29
.38103524,.11883943,,,30
.40222558,.11793707,,,31
.65030408,.125543,,,32
.4221735,.12034851,,,33
.66667235,.11993694,,,34
.45524365,.12314184,,,35
.60558772,.11450054,,,36
.38521311,.119798,,,37
.52808756,.11630215,,,38
.50412971,.11678878,,,39
.56591117,.1267671,,,40
.32079121,.11717416,,,41
.31404799,.12030209,,,42
.64039564,.12213212,,,43
.52320278,.1086202,,,44
.47296631,.11536874,,,45
.66133434,.12623978,,,46
.38328454,.11751704,,,47
.48473015,.11988606,,,48
.53010756,.12130398,,,49
.44237882,.11619082,,,50
.39917198,.11926525,,,51
.46965796,.10459913,,,52
.69913816,.11471266,,,53
.37413791,.12149286,,,54
.42054299,.12010682,,,55
.44255638,.11803585,,,56
.34704977,.11979821,,,57
.35608825,.11602706,,,58
.43602726,.1190096,,,59
.255357,.089769311,,,60
.54699403,.12278692,,,61
.56031215,.11935742,,,62
.36782068,.11826806,,,63
.43415979,.11815602,,,64
.64379954,.11715612,,,65
.73405653,.1209051,,,66
.61271489,.12279569,,,67
.45581967,.12165527,,,68
.51531363,.1204439,,,69
.38414216,.12012506,,,70
.65195787,.12350854,,,71
.4557353,.12275464,,,72
.61521435,.12007027,,,73
.70580965,.12323354,,,74
.49352461,.11592173,,,75
.51862019,.12202495,,,76
.55006647,.050913967,,,77
.53832549,.12226894,,,78
.33774242,.11785442,,,79
.36570093,.11860682,,,80
.45070523,.11826434,,,81
.65125346,.12259474,,,82
.58275729,.1228881,,,83
.33870405,.12304728,,,84
.44900635,.11972214,,,85
.25170812,.11593664,,,86
.52620721,.11835797,,,87
.56887376,.12260691,,,88
.41879919,.11879738,,,89
.43808496,.11817975,,,90
.42453089,.11901227,,,91
.52393121,.11311587,,,92
.57599598,.12427492,,,93
.50364465,.12044749,,,94
.50483638,.1154814,,,95
.29666147,.11572003,,,96
.60497838,.11903132,,,97
.78978276,.1270352,,,98
.46816903,.11903955,,,99
.4978081,.12143023,,,100
