b1,se1,c1,it1,rep
.67058372,.12054706,3264,3264,1
.25644699,.12252728,10000,,2
.4885191,.11579885,,,3
.61066562,.12058562,,,4
.446132,.1176522,,,5
.51020843,.11930187,,,6
.49956778,.11602839,,,7
.55357361,.11734026,,,8
.49017254,.12070866,,,9
.31643754,.1179866,,,10
.55883628,.12058491,,,11
.64541113,.11951341,,,12
.45801979,.12618943,,,13
.47032091,.11927836,,,14
.47516391,.10405903,,,15
.56305635,.11962947,,,16
.4204216,.11923352,,,17
.45002648,.1211155,,,18
.46810693,.11537198,,,19
.55672997,.12033591,,,20
.49850973,.11934681,,,21
.73188394,.11999691,,,22
.63455862,.12204003,,,23
.73372668,.12081614,,,24
.45479882,.11939999,,,25
.61400133,.11917444,,,26
.58061099,.11549115,,,27
.47598672,.12040652,,,28
.37132093,.11975083,,,29
.38103524,.11883943,,,30
.40222558,.11793707,,,31
.65035319,.12556124,,,32
.42214611,.12035554,,,33
.6666767,.11985759,,,34
.45534417,.12310671,,,35
.60559082,.1145025,,,36
.38525626,.11995231,,,37
.52809274,.11617479,,,38
.50412959,.1167592,,,39
.56587988,.0013374495,,,40
.32079121,.11717416,,,41
.31404799,.12030209,,,42
.64039564,.12213212,,,43
.52320278,.1086202,,,44
.47296998,.11537141,,,45
.66133434,.12623978,,,46
.38327971,.11751883,,,47
.48481774,.11988886,,,48
.53010756,.12130398,,,49
.44237882,.11619082,,,50
.3992846,.11917031,,,51
.46965796,.10459913,,,52
.6991325,.11470152,,,53
.37413791,.12149286,,,54
.42055547,.12010729,,,55
.44256672,.11807429,,,56
.34704977,.11979821,,,57
.35610878,.11631269,,,58
.43601346,.11898972,,,59
.255357,.089769311,,,60
.54716325,.12285658,,,61
.56036317,.11933091,,,62
.36782068,.11826806,,,63
.43417943,.11817623,,,64
.64379954,.11715612,,,65
.73405159,.12090532,,,66
.61271489,.12279569,,,67
.45578471,.12193548,,,68
.51531363,.1204439,,,69
.3841069,.12005132,,,70
.65193915,.12349199,,,71
.4557353,.12275464,,,72
.61518967,.11935629,,,73
.70584393,.12323451,,,74
.4935174,.11574125,,,75
.51863194,.12200347,,,76
.55006647,.050913967,,,77
.53832549,.12226894,,,78
.33773416,.11780799,,,79
.36570093,.11860682,,,80
.45070523,.11826434,,,81
.65125346,.12259474,,,82
.58271497,.1228873,,,83
.33870405,.12304728,,,84
.44900635,.11972214,,,85
.25170812,.11593664,,,86
.52620721,.11835797,,,87
.56887376,.12260691,,,88
.41881242,.11879748,,,89
.43806353,.11818638,,,90
.42453089,.11901227,,,91
.52388525,.11312846,,,92
.5759542,.12426686,,,93
.50366288,.12043108,,,94
.50484133,.11548407,,,95
.29666817,.11572705,,,96
.6049605,.11903056,,,97
.78978276,.1270352,,,98
.46816903,.11903955,,,99
.49773735,.12144355,,,100
