b1,se1,c1,it1,rep
1.1006489,.12785482,5000,5000,1
1.1680729,.12105742,3236,,2
1.1961117,.13051158,,,3
1.0172855,.11706198,,,4
1.0255847,.11596967,,,5
1.1834493,.12645248,,,6
.80703884,.12450343,,,7
1.1106868,.12646653,,,8
1.0503252,.11913361,,,9
.97074121,.12833118,,,10
1.0933295,.073773466,,,11
1.3473585,.1399066,,,12
.94376791,.12298805,,,13
.93853229,.12647994,,,14
1.0073574,.11919364,,,15
.87852716,.11675322,,,16
.80439824,.11848633,,,17
1.2393116,.13150048,,,18
1.0640737,.12937985,,,19
.88853043,.12127333,,,20
1.2055613,.091381848,,,21
1.1393504,.12933373,,,22
1.0525514,.11924316,,,23
.94547385,.12531234,,,24
1.0676214,.036542196,,,25
.8647989,.11681973,,,26
1.2538236,.12697966,,,27
1.3958179,.13568071,,,28
1.1475509,.034099225,,,29
1.1777142,.1324929,,,30
1.1571887,.11998875,,,31
.96357131,.060466796,,,32
1.1414334,.13172381,,,33
.86968905,.12860556,,,34
1.2087824,.13066383,,,35
.9855051,.11297327,,,36
.96618766,.12086089,,,37
.84159809,.1179346,,,38
.81173837,.0021186355,,,39
.96546543,.12655759,,,40
1.0896262,.1184319,,,41
1.1037837,.11800424,,,42
1.1446363,.01847514,,,43
.96786702,.12125543,,,44
1.0347414,.12992965,,,45
.86351633,.11906469,,,46
1.0578806,.12541844,,,47
1.0116224,.12533356,,,48
.96704751,.12382758,,,49
1.1553022,.13090295,,,50
.88242501,.12119676,,,51
1.0565146,.13261963,,,52
.68732274,.11969205,,,53
.97238308,.13163476,,,54
1.0713395,.12535349,,,55
.98286343,.11886594,,,56
1.1050678,.11794875,,,57
1.1269236,.073139854,,,58
.87397784,.1105383,,,59
.98460478,.12550527,,,60
.89043337,.11689542,,,61
.9182719,.12032613,,,62
.87282348,.11896373,,,63
.87296975,.11613096,,,64
1.1839468,.13743863,,,65
1.0467145,.12302575,,,66
.75493163,.11498677,,,67
1.3245122,.13596003,,,68
1.0554239,.12837854,,,69
.96323329,.11717054,,,70
1.1988617,.12184224,,,71
1.0503882,.12223554,,,72
1.0609113,.11167267,,,73
1.1258571,.11427616,,,74
1.0873066,.13059413,,,75
.98434114,.12012242,,,76
.81190068,.11563259,,,77
.91007429,.12063684,,,78
.86349207,.11716915,,,79
.90001494,.11902054,,,80
1.1237671,.12987819,,,81
.94200212,.11648127,,,82
1.0138555,.13346069,,,83
1.2286816,.12952548,,,84
.95733106,.12097661,,,85
1.1919836,.13498527,,,86
1.0633706,.11277793,,,87
.99435747,.11811906,,,88
1.0017862,.12605891,,,89
1.2003915,.11777377,,,90
.87623459,.11713038,,,91
1.0692124,.1229199,,,92
1.0729649,.13076441,,,93
.90883106,.12167189,,,94
1.0489327,.12228385,,,95
.89767194,.12082913,,,96
1.1164349,.11781395,,,97
.90822083,.12245955,,,98
.94942009,.124643,,,99
1.1749797,.12943515,,,100
