b1,se1,c1,it1,rep
1.1006438,.127855,6843,6843,1
1.1680729,.12105742,3236,,2
1.1961117,.13051158,,,3
1.0172855,.11706198,,,4
1.0256045,.11596823,,,5
1.1834526,.12645254,,,6
.80703884,.12450343,,,7
1.1106881,.1264423,,,8
1.0503252,.11913361,,,9
.97074121,.12833118,,,10
1.0933287,.12815525,,,11
1.3473487,.13990726,,,12
.94376791,.12298805,,,13
.93852335,.12648068,,,14
1.0073574,.11919364,,,15
.87852716,.11675322,,,16
.80439824,.11848633,,,17
1.2393116,.13150048,,,18
1.0640737,.12937985,,,19
.88853043,.12127333,,,20
1.2055554,.13210805,,,21
1.1393504,.12933373,,,22
1.0525514,.11924316,,,23
.94547385,.12531234,,,24
1.0676214,.036542196,,,25
.86482739,.11682517,,,26
1.2538233,.12698025,,,27
1.3958179,.13568071,,,28
1.1475509,.034099225,,,29
1.1777166,.13250656,,,30
1.1571987,.047954001,,,31
.96356487,.12576309,,,32
1.1414303,.13172364,,,33
.8696866,.12860571,,,34
1.2087824,.13066383,,,35
.9855051,.11297327,,,36
.96619928,.0037598205,,,37
.84155768,.11796713,,,38
.81177616,.088642366,,,39
.96544075,.034374278,,,40
1.0896262,.11843176,,,41
1.1037716,.11794426,,,42
1.1446334,.12369958,,,43
.96786702,.12125543,,,44
1.0347402,.12993029,,,45
.8635481,.11914828,,,46
1.0578837,.071121976,,,47
1.0116516,.12540212,,,48
.96701199,.12335708,,,49
1.1553022,.13090295,,,50
.88242501,.12119676,,,51
1.0565215,.13261916,,,52
.6873228,.11969209,,,53
.97237259,.13163427,,,54
1.0713433,.12535305,,,55
.98286343,.11886594,,,56
1.1050678,.11794875,,,57
1.1269095,.13076234,,,58
.87397784,.1105383,,,59
.98460537,.12550557,,,60
.89043337,.11689542,,,61
.9182719,.12032613,,,62
.87282348,.11896373,,,63
.87296975,.11613096,,,64
1.1839468,.13743863,,,65
1.0467145,.12302575,,,66
.75493163,.11498677,,,67
1.3244988,.13596612,,,68
1.0553734,.031852428,,,69
.96323329,.11717054,,,70
1.198866,.12195361,,,71
1.0503882,.12223554,,,72
1.0608938,.111641,,,73
1.1258571,.11427616,,,74
1.0873066,.13059413,,,75
.98437268,.12002569,,,76
.81190038,.1157925,,,77
.91007429,.12063684,,,78
.86349207,.11716915,,,79
.90001494,.11902054,,,80
1.1237671,.12987819,,,81
.94200212,.11648127,,,82
1.0138817,.13331996,,,83
1.2287014,.11854093,,,84
.95733106,.12097661,,,85
1.1919836,.13498527,,,86
1.0633706,.11277793,,,87
.99438202,.11816576,,,88
1.0017732,.12606795,,,89
1.2003915,.11777377,,,90
.87622446,.11623479,,,91
1.0692186,.12292002,,,92
1.0729781,.13134226,,,93
.90883106,.12167189,,,94
1.0489007,.12300593,,,95
.8976804,.11950061,,,96
1.1164483,.11781084,,,97
.90822083,.12245955,,,98
.94942009,.124643,,,99
1.1749797,.12943515,,,100
