b1,se1,c1,it1,rep
.22450078,.12124038,1101,1101,1
.24188758,.12349735,5000,,2
.19293913,.12425623,,,3
.013965935,5.2475333e-11,,,4
.36339715,.12780567,,,5
.14420579,.12507959,,,6
.17579798,.1169452,,,7
.23905919,.12253808,,,8
.20677908,.12397472,,,9
.23283559,.12504892,,,10
.24633032,.12124643,,,11
.31641868,.12365726,,,12
.30106619,.12498459,,,13
.29659918,.12082026,,,14
.1575437,2.1749769e-10,,,15
.12566745,.11955179,,,16
.03233356,.11832459,,,17
.24434869,.09788499,,,18
.1711228,.12298,,,19
.079957679,.12654956,,,20
-.01062568,.029526044,,,21
.30994397,.12445506,,,22
.12595735,.12213562,,,23
.25804034,.12255626,,,24
.12895109,.12157916,,,25
.15058315,.12411205,,,26
.26998258,.12182455,,,27
-.073823892,.089551181,,,28
.23326527,3.1222303e-10,,,29
.23218577,.12374002,,,30
.069673136,.12234296,,,31
-.061294451,.12383239,,,32
.10993633,.11841718,,,33
.27186143,.1225973,,,34
.28481832,.12034812,,,35
.21257374,.12454749,,,36
.24820669,.12610565,,,37
.25207514,.12063979,,,38
.21208829,.12174784,,,39
.060922034,5.0368983e-11,,,40
.32701749,.12761851,,,41
.15742728,.12242304,,,42
-.0941872,.12331057,,,43
.0990218,.12436875,,,44
.1836504,.12315435,,,45
-.056270067,.12503809,,,46
.16740331,.12473666,,,47
.26469225,.12211461,,,48
.28064659,.12165705,,,49
.25250453,.11801186,,,50
.22289681,.12064167,,,51
.16782516,.11956429,,,52
.18894801,.12238769,,,53
.4012163,.12683363,,,54
.39682347,.12254339,,,55
.14511253,.12031502,,,56
.18839292,.12424639,,,57
.16605574,.12274987,,,58
.1790763,.12440977,,,59
.26979262,.12472761,,,60
.20975727,.12434144,,,61
.26627895,.12167915,,,62
.16956162,.11852817,,,63
-.019003514,.016858082,,,64
.32827142,.12647462,,,65
.23047954,.12355069,,,66
.28733128,.12618856,,,67
.13372034,.12302861,,,68
.15579468,.12085894,,,69
.31627458,.12031649,,,70
-.082557075,.12434495,,,71
.39590737,.12457062,,,72
.24270546,.12249627,,,73
.21265759,.12268531,,,74
.2134625,.12371843,,,75
.13641314,.12203719,,,76
.20910603,.10566493,,,77
.21984984,.12335629,,,78
.27820331,.12039127,,,79
.22529629,.12398548,,,80
.22145127,.12145325,,,81
.075389437,.11780659,,,82
.3467561,.11878184,,,83
.24126658,.12368048,,,84
.37747526,.12260149,,,85
.35269064,.12336721,,,86
.27251995,.12214854,,,87
.13243763,.12204176,,,88
.15206853,.12203322,,,89
-.020969138,.12304392,,,90
.12856755,.12181839,,,91
.39818066,.11839762,,,92
.23301658,.12169051,,,93
.027282486,.12019984,,,94
.062165525,.12228269,,,95
.2850897,.12152968,,,96
-.01996907,.11895609,,,97
.16485327,.12298705,,,98
-.0065275361,.12209968,,,99
.31949857,.12639579,,,100
