b1,se1,c1,it1,rep
.22450078,.12124038,1101,1101,1
.24188758,.12349735,5947,,2
.19293913,.12425623,,,3
.013965935,5.2475333e-11,,,4
.36339715,.12780567,,,5
.14419338,.12507468,,,6
.17579798,.1169452,,,7
.23905955,.12257415,,,8
.20677908,.12397472,,,9
.2328584,.12509538,,,10
.2463669,.12124003,,,11
.31641415,.12365398,,,12
.3010672,.12499255,,,13
.29659945,.12083558,,,14
.1575437,2.1749769e-10,,,15
.12566745,.11955179,,,16
.03233356,.11832459,,,17
.24434869,.09788499,,,18
.17112193,.12298085,,,19
.079961471,.12654883,,,20
-.010615802,.12264976,,,21
.30994397,.12445506,,,22
.12595858,.12213516,,,23
.25804034,.12255626,,,24
.12895109,.12157916,,,25
.15061681,.12409686,,,26
.27004772,.12183589,,,27
-.073833734,.11836438,,,28
.23322664,.12232905,,,29
.23218784,.12373994,,,30
.069676407,.12234318,,,31
-.061287262,.12386792,,,32
.10993633,.11841718,,,33
.27185774,.12259594,,,34
.28481832,.12034812,,,35
.21257374,.12454749,,,36
.24820669,.12610565,,,37
.25207514,.12063979,,,38
.21208829,.12174784,,,39
.060922034,5.0368983e-11,,,40
.32701749,.12761851,,,41
.15742728,.12242304,,,42
-.0941872,.12331057,,,43
.098994344,.12441581,,,44
.18368496,.12318907,,,45
-.056270067,.12503809,,,46
.16740331,.12473666,,,47
.26469225,.12211461,,,48
.28057221,.12176155,,,49
.25250453,.11801186,,,50
.22289681,.12064167,,,51
.16782516,.11956429,,,52
.18894801,.12238769,,,53
.4012163,.12683363,,,54
.39680192,.12254226,,,55
.14507899,.12029231,,,56
.18839292,.12424639,,,57
.16605997,.12274915,,,58
.1790763,.12440977,,,59
.26979262,.12472761,,,60
.20975727,.12434144,,,61
.26627964,.1216791,,,62
.16955394,.11853176,,,63
-.019003514,.016858082,,,64
.32827142,.12647462,,,65
.23047954,.12355069,,,66
.28732413,.12618865,,,67
.13372405,.12302887,,,68
.15579468,.12085894,,,69
.31627458,.12031649,,,70
-.082557075,.12434495,,,71
.39591074,.1245706,,,72
.24271658,.1224779,,,73
.21266076,.1227148,,,74
.21353027,.12365492,,,75
.13641314,.12203719,,,76
.20910603,.10566493,,,77
.21984984,.12335629,,,78
.27820331,.12039127,,,79
.22529629,.12398548,,,80
.22145127,.12145325,,,81
.075389437,.11780659,,,82
.3467561,.11878184,,,83
.24126658,.12368048,,,84
.37747526,.12260149,,,85
.35268751,.12321489,,,86
.27251995,.12214854,,,87
.13243763,.12204176,,,88
.15206853,.12203322,,,89
-.020866895,.087372661,,,90
.12856625,.12183329,,,91
.39817807,.11839855,,,92
.23301658,.12169051,,,93
.027282486,.12019984,,,94
.062165525,.12228269,,,95
.28509727,.12152882,,,96
-.01996907,.11895609,,,97
.16491722,.12297787,,,98
-.0065275361,.12209968,,,99
.31949735,.12639448,,,100
