b1,b2,se1,se2,c1,it1,rep
.4960767,.33247098,.11829461,.06052155,10000,10000,1
.51714915,.23613498,.06459748,.064055897,2244,,2
.3271828,.31526181,.12361273,.060147554,,,3
.52155775,.33944079,.12311874,.059560068,,,4
.45196849,.41395181,.11879031,.061544031,,,5
.52328384,.48348656,.0049550286,.052161407,,,6
.48241809,.42768171,.11994369,.057401702,,,7
.60954159,.38803926,.13231532,.068016633,,,8
.74287307,.24374633,.1134671,.068961397,,,9
.67426354,.28392422,.12116061,.056963354,,,10
.51259303,.20652132,.11925456,.061460301,,,11
.38530245,.21176384,.11601445,.065972358,,,12
.57126141,.41280201,.12125106,.073165394,,,13
.46361917,.28010345,.11662611,.055983569,,,14
.41204137,.2924732,.12019608,.066247799,,,15
.37635756,.27147117,.12213925,.05990864,,,16
.69338405,.30779773,.12208862,.069698296,,,17
.50106025,.38345316,.11923979,.053160239,,,18
.34466523,.27447003,.1152555,.058679383,,,19
.32429475,.2892063,.11335567,.061500832,,,20
