b1,se1,c1,it1,rep
.61017716,.084138185,5000,5000,1
.55952924,.084832221,2906,,2
.60929501,.08753854,,,3
.53583199,.091942206,,,4
.47771201,.087274477,,,5
.50198263,.087068386,,,6
.5084784,.084266081,,,7
.53892601,.08171507,,,8
.44053736,.085828744,,,9
.59390664,.088524662,,,10
.56831193,.090074152,,,11
.50349915,.083740808,,,12
.483529,.081909128,,,13
.63804126,.088009641,,,14
.50958776,.084362462,,,15
.65210998,.083018057,,,16
.4891175,.083861962,,,17
.40801406,.086642489,,,18
.44083101,.088503033,,,19
.65754884,.087970339,,,20
.57769954,.084052294,,,21
.56237853,.086677782,,,22
.57118595,.083454967,,,23
.54190159,.085073568,,,24
.57040244,.089812629,,,25
.37762183,.083595239,,,26
.5293569,.085029401,,,27
.62455785,.08743868,,,28
.62337154,.07922072,,,29
.57539225,.089153193,,,30
.58207583,.089099772,,,31
.34705311,.084460482,,,32
.68940812,.087658465,,,33
.53826571,.086374015,,,34
.42678303,.084495202,,,35
.48564076,.084562697,,,36
.52189177,.089607239,,,37
.61814612,.086809844,,,38
.49828154,.085324451,,,39
.45827436,.085382879,,,40
.6088869,.086897232,,,41
.59758675,.086424872,,,42
.65509301,.088393003,,,43
.68358546,.086982191,,,44
.54298514,.086424127,,,45
.55684662,.088699259,,,46
.47020629,.084346615,,,47
.459876,.086252846,,,48
.46289727,.081523232,,,49
.45592511,.08582814,,,50
.40676594,.085281655,,,51
.42850572,.080792904,,,52
.5741573,.087401271,,,53
.37916395,.083879814,,,54
.52583456,.087145902,,,55
.46435526,.086468764,,,56
.58713782,.088699266,,,57
.59851503,.084562413,,,58
.60166597,.086683646,,,59
.54315794,.083107166,,,60
.51700771,.088321015,,,61
.43110603,.082789078,,,62
.51064509,.085230306,,,63
.460343,.081920303,,,64
.60589749,.089670204,,,65
.64410448,.091271378,,,66
.55584526,.090061106,,,67
.50592953,.083833568,,,68
.58146757,.092143081,,,69
.57175118,.086490735,,,70
.52086741,.087734409,,,71
.48987296,.081492126,,,72
.5305993,.086748496,,,73
.44160971,.069370121,,,74
.52158254,.087921619,,,75
.46636856,.083439089,,,76
.44181773,.08757019,,,77
.5716247,.085063413,,,78
.49567312,.085229047,,,79
.35444561,.082508922,,,80
.68400693,.09010388,,,81
.39396721,.062651679,,,82
.48527783,.080513872,,,83
.56127626,.085205778,,,84
.54143834,.085375659,,,85
.41532621,.086243212,,,86
.5408017,.087687321,,,87
.51031011,.083174177,,,88
.57779455,.086922571,,,89
.42899159,.09218803,,,90
.45044202,.0851041,,,91
.51485807,.083980836,,,92
.43987873,.086914644,,,93
.37664238,.087873749,,,94
.52133197,.081783041,,,95
.41532958,.084474221,,,96
.59749913,.081448212,,,97
.57488358,.088257194,,,98
.43343544,.082428761,,,99
.58838087,.080430813,,,100
