b1,se1,c1,it1,rep
.61019504,.084109165,10000,10000,1
.55949742,.084850729,2906,,2
.60933071,.08754991,,,3
.53587353,.091961704,,,4
.47778684,.08729443,,,5
.50198978,.087060042,,,6
.50847012,.084333956,,,7
.5388965,.08175467,,,8
.44052762,.085859783,,,9
.59398305,.0087412251,,,10
.56822902,.090162568,,,11
.50354058,.083723292,,,12
.48353639,.081908226,,,13
.63804126,.088009641,,,14
.50965816,.084367327,,,15
.65214378,.083018027,,,16
.48918718,.083835199,,,17
.40798971,.087353542,,,18
.4408606,.088542163,,,19
.65751427,.087975569,,,20
.57771164,.084080637,,,21
.56238395,.086716585,,,22
.57121521,.083468668,,,23
.54191464,.085072026,,,24
.57032514,.089925401,,,25
.37766358,.083505601,,,26
.52937764,.085029431,,,27
.62455153,.0874497,,,28
.62337154,.07922072,,,29
.57537711,.089139327,,,30
.58217561,.089220539,,,31
.34706336,.084467679,,,32
.68932778,.087680019,,,33
.53826571,.086374015,,,34
.42678303,.084495202,,,35
.4856694,.0845569,,,36
.52187246,.089606337,,,37
.6181159,.086832754,,,38
.49834439,.085348032,,,39
.45824951,.085384704,,,40
.60894316,.086990744,,,41
.59759259,.086395003,,,42
.65509301,.088393003,,,43
.68349731,.086989298,,,44
.54300916,.08643204,,,45
.55691367,.088748775,,,46
.47022203,.084347323,,,47
.45989949,.086269863,,,48
.46289533,.081548594,,,49
.45594954,.08582563,,,50
.40683645,.085290924,,,51
.42850572,.080792904,,,52
.5741573,.087401271,,,53
.37916809,.083885193,,,54
.52583456,.087145902,,,55
.46435764,.086468302,,,56
.58707041,.088703722,,,57
.59853858,.084561735,,,58
.60172302,.086644232,,,59
.54314256,.083133735,,,60
.51708066,.08831159,,,61
.43118924,.082774796,,,62
.51067096,.085258208,,,63
.4603394,.084600262,,,64
.60580683,.089675747,,,65
.64409,.091273911,,,66
.55588549,.090065531,,,67
.50592875,.083832309,,,68
.5814414,.092093401,,,69
.57183158,.086469203,,,70
.52086872,.087717406,,,71
.48982957,.081497751,,,72
.53060031,.086746655,,,73
.44160971,.069370121,,,74
.52157933,.087932386,,,75
.46638113,.083447956,,,76
.44179225,.08761391,,,77
.57163793,.085087508,,,78
.49567667,.085227139,,,79
.35444561,.082508922,,,80
.68392831,.093256198,,,81
.39396721,.062651679,,,82
.48527783,.080513872,,,83
.56122428,.085266709,,,84
.54148877,.085376717,,,85
.41532624,.08628159,,,86
.54074723,.08779832,,,87
.51035964,.083188012,,,88
.57785648,.086916082,,,89
.42901784,.092228137,,,90
.45048788,.085102677,,,91
.51473594,.084040493,,,92
.43989128,.08691331,,,93
.37670717,.087863885,,,94
.52135682,.081877157,,,95
.41533303,.08447507,,,96
.59749871,.081521764,,,97
.57494891,.088265046,,,98
.43342036,.083287664,,,99
.58838087,.080430813,,,100
