b1,se1,c1,it1,rep
.58061004,.094538443,5000,5000,1
.38387686,.089643955,5000,,2
.38091224,.089364767,,,3
.44531474,.089760564,,,4
.6437133,.084214725,,,5
.66633421,.097216949,,,6
.60450149,.094423786,,,7
.31771985,.091110326,,,8
.56125301,.094660603,,,9
.58245796,.09327548,,,10
.63075477,.093462661,,,11
.535586,.08950375,,,12
.57679844,.09524975,,,13
.5446862,.094293274,,,14
.51621574,.090019517,,,15
.48845652,.089832254,,,16
.38875154,.088323772,,,17
.57003403,.090815827,,,18
.65702528,.097174257,,,19
.55683511,.088569939,,,20
.48304757,.091122843,,,21
.61912853,.096048474,,,22
.46755126,.089149877,,,23
.52805465,.09268187,,,24
.42978531,.093062408,,,25
.60706365,.093181968,,,26
.5035072,.090053685,,,27
.4507679,.091625012,,,28
.52840805,.087978475,,,29
.4166708,.082851015,,,30
.69043815,.09504772,,,31
.44872043,.093459249,,,32
.49974453,.077407852,,,33
.43383011,.087262899,,,34
.64608657,.091854714,,,35
.44141984,.092409581,,,36
.57912433,.095918879,,,37
.53538626,.093647063,,,38
.61003762,.09256088,,,39
.51568007,.090358309,,,40
.53271037,.094769388,,,41
.5070979,.09020441,,,42
.62630713,.093961194,,,43
.52808809,.091877446,,,44
.35490447,.088985763,,,45
.40271994,.089759856,,,46
.31765431,.091592632,,,47
.55317736,.087910824,,,48
.61751795,.095919259,,,49
.47848067,.09199623,,,50
.45072696,.078948043,,,51
.5564791,.092055388,,,52
.59175372,.093454376,,,53
.47195145,.094114907,,,54
.6234616,.094602577,,,55
.28958619,.088201486,,,56
.4851982,.093580909,,,57
.43006706,.094694749,,,58
.641752,.092723899,,,59
.73186934,.0923905,,,60
.58818895,.091909714,,,61
.27680343,.088494614,,,62
.53120369,.090064138,,,63
.4908891,.091056138,,,64
.51898485,.093294062,,,65
.62475818,.096633472,,,66
.43471578,.090755478,,,67
.44047245,.092079677,,,68
.49058303,.092147343,,,69
.6401664,.094613269,,,70
.64951861,.082518369,,,71
.58735073,.092926182,,,72
.62992114,.093857959,,,73
.69505811,.092053235,,,74
.29185158,.089745119,,,75
.61183429,.091732942,,,76
.48564237,.094002515,,,77
.36120179,.076940224,,,78
.57971901,.090871252,,,79
.47350553,.090677001,,,80
.63665777,.092413299,,,81
.57124776,.092358969,,,82
.48493624,.090764545,,,83
.48584428,.090281107,,,84
.4361569,.090606444,,,85
.36222717,.089832269,,,86
.5069747,.092244498,,,87
.52403492,.090442114,,,88
.65637934,.093345329,,,89
.73794502,.093730874,,,90
.60438049,.092431881,,,91
.55074465,.094274789,,,92
.51664263,.091431864,,,93
.31596613,.089451909,,,94
.41934025,.093274795,,,95
.47378778,.085497186,,,96
.49746972,.091266833,,,97
.48295096,.09090443,,,98
.50401479,.091851667,,,99
.38760173,.089511462,,,100
