b1,se1,c1,it1,rep
.58063447,.094532318,6527,6527,1
.38387686,.089643955,5460,,2
.38087854,.089403711,,,3
.44531748,.089795202,,,4
.6437133,.084214725,,,5
.66633421,.097216949,,,6
.60453379,.094427139,,,7
.31777418,.091091707,,,8
.56127965,.094661862,,,9
.58245534,.093270287,,,10
.63074613,.093463391,,,11
.53541821,.090204716,,,12
.57677644,.095039256,,,13
.5446862,.094293274,,,14
.51621574,.090019517,,,15
.48845652,.089832254,,,16
.38873464,.08831922,,,17
.57003403,.090815827,,,18
.65703052,.097175032,,,19
.55683511,.088569939,,,20
.48309496,.091144226,,,21
.61912853,.096048474,,,22
.46755126,.089149877,,,23
.52805465,.09268187,,,24
.42978531,.093062408,,,25
.60706365,.093181968,,,26
.50348401,.090046987,,,27
.4507679,.091625012,,,28
.52840805,.087978475,,,29
.4166708,.082851015,,,30
.69043815,.09504772,,,31
.4487417,.093472913,,,32
.49974453,.077407852,,,33
.43383011,.087262899,,,34
.64608657,.091854714,,,35
.44141984,.092409581,,,36
.57919204,.095929585,,,37
.53539455,.093659252,,,38
.61003762,.09256088,,,39
.51568407,.090358526,,,40
.53272295,.095109969,,,41
.5070979,.09020441,,,42
.62630713,.093961194,,,43
.52808809,.091877446,,,44
.35478416,.089050829,,,45
.40267038,.089776911,,,46
.31765431,.091592632,,,47
.55320245,.087918915,,,48
.61751795,.095919259,,,49
.47847658,.018137351,,,50
.45072696,.078948043,,,51
.55647945,.092055529,,,52
.59175372,.093454376,,,53
.47195145,.094114907,,,54
.62333381,.09457022,,,55
.28958619,.088201486,,,56
.48519641,.093578182,,,57
.43005124,.094704762,,,58
.641752,.092723899,,,59
.73186934,.0923905,,,60
.58818895,.091909714,,,61
.27689022,.088474371,,,62
.53120369,.090064138,,,63
.49088305,.091059797,,,64
.51898485,.093294062,,,65
.62476724,.096647166,,,66
.43471578,.090755478,,,67
.44048357,.092036732,,,68
.49058419,.092142567,,,69
.6401664,.094613269,,,70
.64951861,.082518369,,,71
.58734494,.092910826,,,72
.62992114,.093857959,,,73
.69505811,.092053235,,,74
.29185158,.089745119,,,75
.61183727,.091737516,,,76
.48566395,.094044581,,,77
.36120179,.076940224,,,78
.57971901,.090871252,,,79
.47350553,.090677001,,,80
.63668168,.092333712,,,81
.57124776,.092358969,,,82
.48493624,.090764545,,,83
.48584428,.090281107,,,84
.4361569,.090606444,,,85
.36220467,.089850627,,,86
.5069747,.092244498,,,87
.52404553,.090449564,,,88
.65637934,.093345329,,,89
.73794502,.093730874,,,90
.60438049,.092431881,,,91
.55082518,.094272196,,,92
.51668012,.091444343,,,93
.31599641,.08945284,,,94
.41930056,.093287878,,,95
.47378778,.085497186,,,96
.49743357,.091293931,,,97
.48295096,.09090443,,,98
.50403059,.091831818,,,99
.38760579,.089519471,,,100
