b1,se1,c1,it1,rep
.47510299,.089842558,1044,1044,1
.61813205,.10613701,10000,,2
.44338316,.10425439,,,3
.64598686,.1011515,,,4
.67684358,.10412329,,,5
.47751659,.10269955,,,6
.39121312,.10954485,,,7
.68371284,.10596335,,,8
.42736283,.0998744,,,9
.37888423,.10114217,,,10
.62803417,.029473733,,,11
.57134873,.10855977,,,12
.58445716,.10668699,,,13
.37880492,.10143533,,,14
.48222268,.1031195,,,15
.35254258,.10477443,,,16
.50410128,.099934034,,,17
.32026172,.10133389,,,18
.53730994,.10678955,,,19
.57306463,.10284547,,,20
