"l","u","trt"
1.89699616283178,Inf,"0"
2.12724999384955,Inf,"0"
1.58302424987778,2.3812525162939,"0"
1.24365994869731,2.19874566257931,"0"
2.17353289737366,Inf,"0"
2.35698553756811,Inf,"0"
1.31871083891019,1.87022095988505,"0"
1.46213266672567,1.70957635319792,"0"
0.896751744206995,1.19270416744985,"0"
0.845391454175115,1.81407551723532,"0"
1.44182711211033,2.42787404544652,"0"
1.06651746970601,1.99227253277786,"0"
2.18733358033933,2.52743999939412,"0"
1.53252067486756,2.52859808295034,"0"
1.2526718780864,2.17016930505633,"0"
1.71139277145267,1.94319063145667,"0"
1.26432857196778,2.0582857420668,"0"
0.860374691197649,1.49756820569746,"0"
0.88618928170763,1.34278450743295,"0"
1.51461393781938,1.58426243648864,"0"
1.06028338498436,1.33978744293563,"0"
0.562506401212886,1.18815923342481,"0"
1.41283370205201,2.20505364541896,"0"
0.622689321171492,1.462657521246,"0"
0,0.420969670405611,"0"
1.39171023177914,2.21562860812992,"0"
2.25011908006854,3.10237522283569,"0"
2.54982739849947,Inf,"0"
1.62226181593724,2.52701053442433,"0"
0.565974736353382,1.46304117259569,"0"
0,0.986603980651125,"0"
0.507897725095972,1.47545375465415,"0"
0.559933389537036,1.26752335927449,"0"
0.421738752629608,1.06259704194963,"0"
0.456978239119053,1.41243977937847,"0"
0.922254347708076,1.61546424613334,"0"
0.521197227062657,1.16189481457695,"0"
0.871826366288587,1.83428083430044,"0"
1.9450292813126,Inf,"0"
0.234909934224561,0.71001680358313,"0"
0.702167481882498,1.50221649627201,"0"
1.2375826917123,Inf,"0"
2.52200087322854,2.87083096406423,"0"
0.428741586860269,0.77005391032435,"0"
0.319582355907187,1.29830988566391,"0"
1.9537628989201,2.50784729747102,"0"
1.14313280163333,2.10060980310664,"0"
1.70916102337651,2.14429982798174,"0"
2.33478530868888,Inf,"0"
2.00423001172021,Inf,"0"
2.49929720931686,Inf,"0"
1.81292663351633,2.10110714938492,"0"
0.730560794938356,1.12098970613442,"0"
0.918574738316238,1.66979715274647,"0"
1.01027467125095,1.80282457708381,"0"
0.953694159397855,1.87338043563068,"0"
2.36469712643884,Inf,"0"
0.688166945008561,1.34480289462954,"0"
2.01192100369371,Inf,"0"
1.88781687733717,2.81049657636322,"0"
0.837495436193421,1.10396666335873,"0"
0,0.56843694136478,"0"
0.698649490019307,1.31149549013935,"0"
1.46988412365317,1.77235412225127,"0"
0.909952180460095,1.65547529724427,"0"
2.11230092030019,2.76615329924971,"0"
1.55524257803336,Inf,"0"
1.90592419123277,2.67195355216973,"0"
1.8895952925086,2.85036408342421,"0"
1.757880236255,Inf,"0"
1.91486027045175,2.66057537589222,"0"
1.07070195488632,1.34653561585583,"0"
2.62192224478349,Inf,"0"
0,0.838962143752724,"0"
0,0.590248825959861,"0"
3.0750502019655,Inf,"0"
0.81762775988318,1.69724572100677,"0"
0.751622827956453,1.59386993572116,"0"
1.34935978194699,2.32613812224008,"0"
1.91804303927347,Inf,"0"
1.03422696143389,1.98166359914467,"0"
0.552477054065093,1.0302038078662,"0"
0.195027048001066,1.11714267474599,"0"
1.3817754893098,Inf,"0"
